image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
vehicle_m1.jpg	Military_Equipment	B	['Medium_SUV', 'Military_Equipment', 'Road_Roller', 'Heavy_FT', 'Medium_Bus']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m1.jpg	0	Medium Difficulty	Medium_SUV	Military_Equipment	Road_Roller	Heavy_FT	Medium_Bus
vehicle_m2.jpg	Military_Equipment	D	['Heavy_DT', 'Medium_TT', 'Pickup', 'Military_Equipment', 'Large_Bus']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m2.jpg	1	Medium Difficulty	Heavy_DT	Medium_TT	Pickup	Military_Equipment	Large_Bus
vehicle_m3.jpg	Military_Equipment	D	['Light_DT', 'Heavy_ST', 'Ambulance', 'Military_Equipment', 'Large_Bus']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m3.jpg	2	Medium Difficulty	Light_DT	Heavy_ST	Ambulance	Military_Equipment	Large_Bus
vehicle_m4.jpg	Military_Equipment	E	['Light_DT', 'Shovel_Loader', 'Heavy_ST', 'Light_PV', 'Military_Equipment']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m4.jpg	3	Medium Difficulty	Light_DT	Shovel_Loader	Heavy_ST	Light_PV	Military_Equipment
vehicle_m5.jpg	Military_Equipment	B	['ECV', 'Military_Equipment', 'Medium_Car', 'Large_Bus', 'Mixer_Truck']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m5.jpg	4	Medium Difficulty	ECV	Military_Equipment	Medium_Car	Large_Bus	Mixer_Truck
vehicle_m6.jpg	Military_Equipment	B	['Light_PV', 'Military_Equipment', 'Small_Bus', 'Forklift', 'Large_Car']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m6.jpg	5	Medium Difficulty	Light_PV	Military_Equipment	Small_Bus	Forklift	Large_Car
vehicle_m7.JPG	Military_Equipment	D	['Mixer_Truck', 'ECV', 'Forklift', 'Military_Equipment', 'Light_DT']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m7.JPG	6	Medium Difficulty	Mixer_Truck	ECV	Forklift	Military_Equipment	Light_DT
vehicle_m8.jpg	Military_Equipment	A	['Military_Equipment', 'Pickup', 'Medium_SUV', 'Small_Bus', 'Mini_Car']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m8.jpg	7	Medium Difficulty	Military_Equipment	Pickup	Medium_SUV	Small_Bus	Mini_Car
vehicle_m9.jpg	Military_Equipment	B	['Small_Bus', 'Military_Equipment', 'Forklift', 'Compact_SUV', 'Heavy_ST']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m9.jpg	8	Medium Difficulty	Small_Bus	Military_Equipment	Forklift	Compact_SUV	Heavy_ST
vehicle_m10.JPG	Military_Equipment	C	['Medium_Bus', 'Mixer_Truck', 'Military_Equipment', 'Mini_Car', 'Large_Bus']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m10.JPG	9	Medium Difficulty	Medium_Bus	Mixer_Truck	Military_Equipment	Mini_Car	Large_Bus
vehicle_m11.jpg	Military_Equipment	E	['Large_Bus', 'Heavy_DT', 'Compact_SUV', 'Medium_TT', 'Military_Equipment']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m11.jpg	10	Medium Difficulty	Large_Bus	Heavy_DT	Compact_SUV	Medium_TT	Military_Equipment
vehicle_m12.JPG	Military_Equipment	C	['Large_Car', 'Medium_SUV', 'Military_Equipment', 'Light_PV', 'Forklift']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m12.JPG	11	Medium Difficulty	Large_Car	Medium_SUV	Military_Equipment	Light_PV	Forklift
vehicle_m13.jpg	Military_Equipment	D	['Mini_Car', 'Ambulance', 'Heavy_DT', 'Military_Equipment', 'Medium_TT']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m13.jpg	12	Medium Difficulty	Mini_Car	Ambulance	Heavy_DT	Military_Equipment	Medium_TT
vehicle_m14.jpg	Military_Equipment	B	['Heavy_ST', 'Military_Equipment', 'Mixer_Truck', 'Large_Car', 'Light_PV']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m14.jpg	13	Medium Difficulty	Heavy_ST	Military_Equipment	Mixer_Truck	Large_Car	Light_PV
vehicle_m15.jpg	Military_Equipment	E	['Shovel_Loader', 'Forklift', 'Light_PV', 'Heavy_DT', 'Military_Equipment']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m15.jpg	14	Medium Difficulty	Shovel_Loader	Forklift	Light_PV	Heavy_DT	Military_Equipment
vehicle_m16.jpg	Military_Equipment	D	['Road_Roller', 'Medium_Bus', 'Compact_SUV', 'Military_Equipment', 'Heavy_ST']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m16.jpg	15	Medium Difficulty	Road_Roller	Medium_Bus	Compact_SUV	Military_Equipment	Heavy_ST
vehicle_m17.jpg	Military_Equipment	A	['Military_Equipment', 'Road_Roller', 'Heavy_FT', 'Heavy_DT', 'Medium_Car']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m17.jpg	16	Medium Difficulty	Military_Equipment	Road_Roller	Heavy_FT	Heavy_DT	Medium_Car
vehicle_m18.JPG	Military_Equipment	A	['Military_Equipment', 'Pickup', 'Light_PV', 'ECV', 'Ambulance']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_m18.JPG	17	Medium Difficulty	Military_Equipment	Pickup	Light_PV	ECV	Ambulance
