image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
object_1.jpg	Aircraft	B	['Oil Tank', 'Aircraft', 'Ship', 'Vehicle', 'Other']	['The target marked with a red box in this image belongs to which type?', 'Which category does the target, highlighted by a red box in this image, belong to?', 'What type of target is the one marked with a red box in this picture?', 'Which specific target type is the one within the red box in the scene?', 'What is the type of the target that has been marked with a red box in the given image?']	Object Recognition	object_1.jpg	0	Low Difficulty	Oil Tank	Aircraft	Ship	Vehicle	Other
object_2.jpg	Aircraft	B	['Bridge', 'Aircraft', 'Ship', 'Oil Tank', 'Other']	['The target marked with a red box in this image belongs to which type?', 'Which category does the target, highlighted by a red box in this image, belong to?', 'What type of target is the one marked with a red box in this picture?', 'Which specific target type is the one within the red box in the scene?', 'What is the type of the target that has been marked with a red box in the given image?']	Object Recognition	object_2.jpg	1	Low Difficulty	Bridge	Aircraft	Ship	Oil Tank	Other
object_3.jpg	Aircraft	A	['Aircraft', 'Tower Crane', 'Ship', 'Oil Tank', 'Other']	['The target marked with a red box in this image belongs to which type?', 'Which category does the target, highlighted by a red box in this image, belong to?', 'What type of target is the one marked with a red box in this picture?', 'Which specific target type is the one within the red box in the scene?', 'What is the type of the target that has been marked with a red box in the given image?']	Object Recognition	object_3.jpg	2	Low Difficulty	Aircraft	Tower Crane	Ship	Oil Tank	Other
object_4.jpg	Aircraft	E	['Ship', 'Vehicle', 'Oil Tank', 'Tower Crane', 'Aircraft']	['The target marked with a red box in this image belongs to which type?', 'Which category does the target, highlighted by a red box in this image, belong to?', 'What type of target is the one marked with a red box in this picture?', 'Which specific target type is the one within the red box in the scene?', 'What is the type of the target that has been marked with a red box in the given image?']	Object Recognition	object_4.jpg	3	Low Difficulty	Ship	Vehicle	Oil Tank	Tower Crane	Aircraft
object_5.jpg	Aircraft	B	['Tower Crane', 'Aircraft', 'Ship', 'Vehicle', 'Oil Tank']	['The target marked with a red box in this image belongs to which type?', 'Which category does the target, highlighted by a red box in this image, belong to?', 'What type of target is the one marked with a red box in this picture?', 'Which specific target type is the one within the red box in the scene?', 'What is the type of the target that has been marked with a red box in the given image?']	Object Recognition	object_5.jpg	4	Low Difficulty	Tower Crane	Aircraft	Ship	Vehicle	Oil Tank
object_6.jpg	Aircraft	B	['Bridge', 'Aircraft', 'Vehicle', 'Oil Tank', 'Ship']	['The target marked with a red box in this image belongs to which type?', 'Which category does the target, highlighted by a red box in this image, belong to?', 'What type of target is the one marked with a red box in this picture?', 'Which specific target type is the one within the red box in the scene?', 'What is the type of the target that has been marked with a red box in the given image?']	Object Recognition	object_6.jpg	5	Low Difficulty	Bridge	Aircraft	Vehicle	Oil Tank	Ship
object_7.jpg	Aircraft	E	['Oil Tank', 'Vehicle', 'Tower Crane', 'Bridge', 'Aircraft']	['The target marked with a red box in this image belongs to which type?', 'Which category does the target, highlighted by a red box in this image, belong to?', 'What type of target is the one marked with a red box in this picture?', 'Which specific target type is the one within the red box in the scene?', 'What is the type of the target that has been marked with a red box in the given image?']	Object Recognition	object_7.jpg	6	Low Difficulty	Oil Tank	Vehicle	Tower Crane	Bridge	Aircraft
object_8.jpg	Aircraft	C	['Bridge', 'Oil Tank', 'Aircraft', 'Vehicle', 'Tower Crane']	['The target marked with a red box in this image belongs to which type?', 'Which category does the target, highlighted by a red box in this image, belong to?', 'What type of target is the one marked with a red box in this picture?', 'Which specific target type is the one within the red box in the scene?', 'What is the type of the target that has been marked with a red box in the given image?']	Object Recognition	object_8.jpg	7	Low Difficulty	Bridge	Oil Tank	Aircraft	Vehicle	Tower Crane
object_9.jpg	Aircraft	B	['Vehicle', 'Aircraft', 'Bridge', 'Ship', 'Tower Crane']	['The target marked with a red box in this image belongs to which type?', 'Which category does the target, highlighted by a red box in this image, belong to?', 'What type of target is the one marked with a red box in this picture?', 'Which specific target type is the one within the red box in the scene?', 'What is the type of the target that has been marked with a red box in the given image?']	Object Recognition	object_9.jpg	8	Low Difficulty	Vehicle	Aircraft	Bridge	Ship	Tower Crane
object_10.jpg	Aircraft	C	['Oil Tank', 'Tower Crane', 'Aircraft', 'Bridge', 'Vehicle']	['The target marked with a red box in this image belongs to which type?', 'Which category does the target, highlighted by a red box in this image, belong to?', 'What type of target is the one marked with a red box in this picture?', 'Which specific target type is the one within the red box in the scene?', 'What is the type of the target that has been marked with a red box in the given image?']	Object Recognition	object_10.jpg	9	Low Difficulty	Oil Tank	Tower Crane	Aircraft	Bridge	Vehicle
