image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
scene_1.jpg	Airport	A	['Airport', 'City', 'Forest', 'Farmland', 'Other']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_1.jpg	0	Low Difficulty	Airport	City	Forest	Farmland	Other
scene_2.jpg	Airport	D	['City', 'Farmland', 'Oil Refinery', 'Airport', 'Other']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_2.jpg	1	Low Difficulty	City	Farmland	Oil Refinery	Airport	Other
scene_3.jpg	Airport	C	['Oil Refinery', 'Forest', 'Airport', 'Farmland', 'Harbour']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_3.jpg	2	Low Difficulty	Oil Refinery	Forest	Airport	Farmland	Harbour
scene_4.jpg	Airport	E	['City', 'Forest', 'Oil Refinery', 'Harbour', 'Airport']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_4.jpg	3	Low Difficulty	City	Forest	Oil Refinery	Harbour	Airport
scene_5.jpg	Airport	B	['Harbour', 'Airport', 'City', 'Farmland', 'Oil Refinery']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_5.jpg	4	Low Difficulty	Harbour	Airport	City	Farmland	Oil Refinery
scene_6.jpg	Airport	C	['Harbour', 'City', 'Airport', 'Oil Refinery', 'Farmland']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_6.jpg	5	Low Difficulty	Harbour	City	Airport	Oil Refinery	Farmland
scene_7.jpg	Airport	D	['Oil Refinery', 'Forest', 'Farmland', 'Airport', 'City']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_7.jpg	6	Low Difficulty	Oil Refinery	Forest	Farmland	Airport	City
scene_8.jpg	Airport	B	['Forest', 'Airport', 'City', 'Harbour', 'Other']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_8.jpg	7	Low Difficulty	Forest	Airport	City	Harbour	Other
scene_9.jpg	Airport	A	['Airport', 'Farmland', 'Forest', 'City', 'Harbour']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_9.jpg	8	Low Difficulty	Airport	Farmland	Forest	City	Harbour
scene_10.jpg	Airport	A	['Airport', 'Harbour', 'City', 'Farmland', 'Oil Refinery']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_10.jpg	9	Low Difficulty	Airport	Harbour	City	Farmland	Oil Refinery
scene_11.jpg	Airport	D	['Harbour', 'Forest', 'Oil Refinery', 'Airport', 'Other']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_11.jpg	10	Low Difficulty	Harbour	Forest	Oil Refinery	Airport	Other
scene_12.jpg	Airport	C	['Oil Refinery', 'Forest', 'Airport', 'Farmland', 'Other']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_12.jpg	11	Low Difficulty	Oil Refinery	Forest	Airport	Farmland	Other
scene_13.jpg	Airport	B	['Farmland', 'Airport', 'Forest', 'City', 'Oil Refinery']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_13.jpg	12	Low Difficulty	Farmland	Airport	Forest	City	Oil Refinery
scene_14.jpg	Airport	B	['City', 'Airport', 'Other', 'Forest', 'Farmland']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_14.jpg	13	Low Difficulty	City	Airport	Other	Forest	Farmland
scene_15.jpg	Airport	E	['City', 'Farmland', 'Harbour', 'Oil Refinery', 'Airport']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_15.jpg	14	Low Difficulty	City	Farmland	Harbour	Oil Refinery	Airport
scene_16.jpg	Airport	B	['Harbour', 'Airport', 'City', 'Other', 'Forest']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_16.jpg	15	Low Difficulty	Harbour	Airport	City	Other	Forest
scene_17.jpg	Airport	B	['Harbour', 'Airport', 'Forest', 'City', 'Farmland']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_17.jpg	16	Low Difficulty	Harbour	Airport	Forest	City	Farmland
scene_18.jpg	Airport	A	['Airport', 'Oil Refinery', 'Farmland', 'City', 'Harbour']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_18.jpg	17	Low Difficulty	Airport	Oil Refinery	Farmland	City	Harbour
scene_19.jpg	Airport	B	['Harbour', 'Airport', 'Oil Refinery', 'City', 'Farmland']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_19.jpg	18	Low Difficulty	Harbour	Airport	Oil Refinery	City	Farmland
scene_20.jpg	Airport	A	['Airport', 'Farmland', 'City', 'Oil Refinery', 'Other']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_20.jpg	19	Low Difficulty	Airport	Farmland	City	Oil Refinery	Other
scene_21.jpg	Airport	D	['City', 'Forest', 'Oil Refinery', 'Airport', 'Farmland']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_21.jpg	20	Low Difficulty	City	Forest	Oil Refinery	Airport	Farmland
scene_22.jpg	Airport	E	['Farmland', 'City', 'Forest', 'Harbour', 'Airport']	['What is the primary type of scene depicted in this aerial image?', 'What kind of environment or setting is visible in this image?', 'Which element or area best characterizes the scene in this image?', 'What type of structure or feature stands out the most in this aerial image?', 'Which key feature can be identified as the focal point of this image?']	Scene Classification	scene_22.jpg	21	Low Difficulty	Farmland	City	Forest	Harbour	Airport
