image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
010873.jpg	24	E	['27', '25', '23', '21', '24']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	010873.jpg	1	High Difficulty	27	25	23	21	24
010897.jpg	22	A	['22', '21', '19', '24', '25']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	010897.jpg	2	High Difficulty	22	21	19	24	25
011592.jpg	21	A	['21', '23', '20', '22', '24']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	011592.jpg	3	High Difficulty	21	23	20	22	24
011600.jpg	21	D	['19', '22', '24', '21', '20']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	011600.jpg	4	High Difficulty	19	22	24	21	20
011759.jpg	28	C	['29', '26', '28', '25', '30']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	011759.jpg	5	High Difficulty	29	26	28	25	30
011786.jpg	25	D	['22', '28', '26', '25', '24']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	011786.jpg	6	High Difficulty	22	28	26	25	24
012458.jpg	21	C	['18', '19', '21', '20', '24']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	012458.jpg	7	High Difficulty	18	19	21	20	24
012465.jpg	21	C	['20', '22', '21', '19', '24']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	012465.jpg	8	High Difficulty	20	22	21	19	24
012603.jpg	28	A	['28', '30', '25', '31', '29']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	012603.jpg	9	High Difficulty	28	30	25	31	29
012604.jpg	23	D	['25', '21', '22', '23', '26']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	012604.jpg	10	High Difficulty	25	21	22	23	26
012629.jpg	26	E	['23', '27', '24', '25', '26']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	012629.jpg	11	High Difficulty	23	27	24	25	26
012630.jpg	21	E	['20', '19', '23', '24', '21']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	012630.jpg	12	High Difficulty	20	19	23	24	21
01567.jpg	25	A	['25', '26', '28', '27', '22']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	01567.jpg	13	High Difficulty	25	26	28	27	22
01568.jpg	27	D	['26', '29', '25', '27', '28']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	01568.jpg	14	High Difficulty	26	29	25	27	28
01595.jpg	22	B	['21', '22', '20', '25', '19']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	01595.jpg	15	High Difficulty	21	22	20	25	19
01643.jpg	23	B	['26', '23', '21', '22', '24']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	01643.jpg	16	High Difficulty	26	23	21	22	24
016595.jpg	90	A	['90', '87', '89', '91', '93']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	016595.jpg	17	High Difficulty	90	87	89	91	93
016596.jpg	90	B	['87', '90', '89', '93', '88']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	016596.jpg	18	High Difficulty	87	90	89	93	88
01661.jpg	23	B	['25', '23', '20', '24', '22']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	01661.jpg	19	High Difficulty	25	23	20	24	22
01662.jpg	22	B	['21', '22', '19', '25', '20']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	01662.jpg	20	High Difficulty	21	22	19	25	20
016625.jpg	24	D	['22', '21', '27', '24', '25']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	016625.jpg	21	High Difficulty	22	21	27	24	25
016626.jpg	21	C	['18', '19', '21', '24', '20']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	016626.jpg	22	High Difficulty	18	19	21	24	20
01663.jpg	22	A	['22', '20', '24', '21', '23']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	01663.jpg	23	High Difficulty	22	20	24	21	23
016648.jpg	29	E	['32', '31', '28', '30', '29']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	016648.jpg	24	High Difficulty	32	31	28	30	29
016649.jpg	27	B	['26', '27', '29', '24', '30']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	016649.jpg	25	High Difficulty	26	27	29	24	30
016650.jpg	23	C	['24', '26', '23', '20', '21']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	016650.jpg	26	High Difficulty	24	26	23	20	21
016676.jpg	26	D	['23', '24', '29', '26', '25']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	016676.jpg	27	High Difficulty	23	24	29	26	25
016677.jpg	25	D	['27', '23', '24', '25', '22']	['How many oil tanks are visible in this SAR image?', 'What is the total count of oil storage tanks in the scene?', 'Please count the number of oil tanks shown in this image.', 'How many oil storage facilities can you identify in this SAR image?', 'What is the exact number of oil tanks present in this satellite image?']	Oil Tank Counting	016677.jpg	28	High Difficulty	27	23	24	25	22
