image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
chengdu_2180.png	>20m	C	['3-5m', '0-3m', '>20m', '10-20m']	['What is the average building height range in this area?', 'Which range represents the average building height of the region in the image?', 'Estimate the average building height range of the area in the image.', 'What is the correct average building height range for this region?', 'Select the average building height range of the area shown in the image.']	Building Average Height Range Estimation	chengdu_2180.png	0	Medium Difficulty	3-5m	0-3m	>20m	10-20m	
shanghai_3349.png	10-20m	D	['0-3m', '3-5m', '>20m', '10-20m']	['What is the average building height range in this area?', 'Which range represents the average building height of the region in the image?', 'Estimate the average building height range of the area in the image.', 'What is the correct average building height range for this region?', 'Select the average building height range of the area shown in the image.']	Building Average Height Range Estimation	shanghai_3349.png	1	Medium Difficulty	0-3m	3-5m	>20m	10-20m	
nanning_452.png	10-20m	C	['5-10m', '0-3m', '10-20m', '>20m']	['What is the average building height range in this area?', 'Which range represents the average building height of the region in the image?', 'Estimate the average building height range of the area in the image.', 'What is the correct average building height range for this region?', 'Select the average building height range of the area shown in the image.']	Building Average Height Range Estimation	nanning_452.png	2	Medium Difficulty	5-10m	0-3m	10-20m	>20m	
chongqing_810.png	10-20m	C	['5-10m', '3-5m', '10-20m', '>20m']	['What is the average building height range in this area?', 'Which range represents the average building height of the region in the image?', 'Estimate the average building height range of the area in the image.', 'What is the correct average building height range for this region?', 'Select the average building height range of the area shown in the image.']	Building Average Height Range Estimation	chongqing_810.png	3	Medium Difficulty	5-10m	3-5m	10-20m	>20m	
guangzhou_613.png	10-20m	C	['5-10m', '>20m', '10-20m', '3-5m']	['What is the average building height range in this area?', 'Which range represents the average building height of the region in the image?', 'Estimate the average building height range of the area in the image.', 'What is the correct average building height range for this region?', 'Select the average building height range of the area shown in the image.']	Building Average Height Range Estimation	guangzhou_613.png	4	Medium Difficulty	5-10m	>20m	10-20m	3-5m	
shenzhen_1896.png	10-20m	A	['10-20m', '0-3m', '3-5m', '>20m']	['What is the average building height range in this area?', 'Which range represents the average building height of the region in the image?', 'Estimate the average building height range of the area in the image.', 'What is the correct average building height range for this region?', 'Select the average building height range of the area shown in the image.']	Building Average Height Range Estimation	shenzhen_1896.png	5	Medium Difficulty	10-20m	0-3m	3-5m	>20m	
taiyuan_163.png	10-20m	A	['10-20m', '>20m', '5-10m', '0-3m']	['What is the average building height range in this area?', 'Which range represents the average building height of the region in the image?', 'Estimate the average building height range of the area in the image.', 'What is the correct average building height range for this region?', 'Select the average building height range of the area shown in the image.']	Building Average Height Range Estimation	taiyuan_163.png	6	Medium Difficulty	10-20m	>20m	5-10m	0-3m	
chongqing_772.png	10-20m	B	['0-3m', '10-20m', '>20m', '3-5m']	['What is the average building height range in this area?', 'Which range represents the average building height of the region in the image?', 'Estimate the average building height range of the area in the image.', 'What is the correct average building height range for this region?', 'Select the average building height range of the area shown in the image.']	Building Average Height Range Estimation	chongqing_772.png	7	Medium Difficulty	0-3m	10-20m	>20m	3-5m	
guangzhou_552.png	10-20m	B	['>20m', '10-20m', '5-10m', '0-3m']	['What is the average building height range in this area?', 'Which range represents the average building height of the region in the image?', 'Estimate the average building height range of the area in the image.', 'What is the correct average building height range for this region?', 'Select the average building height range of the area shown in the image.']	Building Average Height Range Estimation	guangzhou_552.png	8	Medium Difficulty	>20m	10-20m	5-10m	0-3m	
shenzhen_1680.png	10-20m	D	['3-5m', '0-3m', '>20m', '10-20m']	['What is the average building height range in this area?', 'Which range represents the average building height of the region in the image?', 'Estimate the average building height range of the area in the image.', 'What is the correct average building height range for this region?', 'Select the average building height range of the area shown in the image.']	Building Average Height Range Estimation	shenzhen_1680.png	9	Medium Difficulty	3-5m	0-3m	>20m	10-20m	
