image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
012100.jpg	16	B	['13', '16', '18', '19', '15']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	012100.jpg	1	High Difficulty	13	16	18	19	15
012101.jpg	18	E	['19', '15', '20', '16', '18']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	012101.jpg	2	High Difficulty	19	15	20	16	18
012102.jpg	12	E	['9', '14', '11', '10', '12']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	012102.jpg	3	High Difficulty	9	14	11	10	12
012120.jpg	18	C	['21', '19', '18', '17', '16']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	012120.jpg	4	High Difficulty	21	19	18	17	16
012121.jpg	21	E	['22', '18', '20', '23', '21']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	012121.jpg	5	High Difficulty	22	18	20	23	21
012122.jpg	16	A	['16', '19', '17', '18', '14']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	012122.jpg	6	High Difficulty	16	19	17	18	14
012916.jpg	18	C	['16', '20', '18', '17', '15']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	012916.jpg	7	High Difficulty	16	20	18	17	15
012917.jpg	18	E	['16', '20', '15', '17', '18']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	012917.jpg	8	High Difficulty	16	20	15	17	18
012918.jpg	12	A	['12', '13', '9', '10', '11']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	012918.jpg	9	High Difficulty	12	13	9	10	11
012934.jpg	17	E	['15', '20', '14', '16', '17']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	012934.jpg	10	High Difficulty	15	20	14	16	17
012935.jpg	22	D	['23', '19', '24', '22', '21']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	012935.jpg	11	High Difficulty	23	19	24	22	21
012936.jpg	16	C	['19', '15', '16', '14', '17']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	012936.jpg	12	High Difficulty	19	15	16	14	17
01298.jpg	13	D	['16', '14', '15', '13', '11']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	01298.jpg	13	High Difficulty	16	14	15	13	11
01337.jpg	11	E	['13', '14', '12', '9', '11']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	01337.jpg	14	High Difficulty	13	14	12	9	11
01349.jpg	11	B	['14', '11', '13', '9', '10']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	01349.jpg	15	High Difficulty	14	11	13	9	10
013890.jpg	12	B	['15', '12', '10', '13', '14']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	013890.jpg	16	High Difficulty	15	12	10	13	14
013891.jpg	11	B	['14', '11', '9', '10', '13']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	013891.jpg	17	High Difficulty	14	11	9	10	13
013899.jpg	12	D	['14', '15', '9', '12', '11']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	013899.jpg	18	High Difficulty	14	15	9	12	11
013900.jpg	11	D	['13', '8', '14', '11', '12']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	013900.jpg	19	High Difficulty	13	8	14	11	12
015771.jpg	11	A	['11', '12', '10', '9', '14']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	015771.jpg	20	High Difficulty	11	12	10	9	14
015772.jpg	13	C	['11', '14', '13', '16', '15']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	015772.jpg	21	High Difficulty	11	14	13	16	15
015773.jpg	11	A	['11', '12', '8', '9', '14']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	015773.jpg	22	High Difficulty	11	12	8	9	14
015835.jpg	13	C	['14', '12', '13', '16', '10']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	015835.jpg	23	High Difficulty	14	12	13	16	10
015836.jpg	11	B	['8', '11', '14', '12', '10']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	015836.jpg	24	High Difficulty	8	11	14	12	10
016487.jpg	14	E	['13', '16', '11', '17', '14']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	016487.jpg	25	High Difficulty	13	16	11	17	14
016488.jpg	27	D	['24', '28', '26', '27', '29']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	016488.jpg	26	High Difficulty	24	28	26	27	29
016489.jpg	21	B	['18', '21', '24', '23', '22']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	016489.jpg	27	High Difficulty	18	21	24	23	22
016522.jpg	11	C	['10', '9', '11', '13', '8']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	016522.jpg	28	High Difficulty	10	9	11	13	8
016523.jpg	21	A	['21', '20', '22', '19', '23']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	016523.jpg	29	High Difficulty	21	20	22	19	23
016524.jpg	17	A	['17', '16', '19', '15', '18']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	016524.jpg	30	High Difficulty	17	16	19	15	18
016595.jpg	14	C	['12', '15', '14', '16', '13']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	016595.jpg	31	High Difficulty	12	15	14	16	13
016910.jpg	34	D	['35', '31', '32', '34', '36']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	016910.jpg	32	High Difficulty	35	31	32	34	36
017024.jpg	98	D	['95', '101', '96', '98', '97']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	017024.jpg	33	High Difficulty	95	101	96	98	97
017025.jpg	45	E	['42', '48', '47', '46', '45']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	017025.jpg	34	High Difficulty	42	48	47	46	45
017230.jpg	13	B	['11', '13', '15', '12', '10']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	017230.jpg	35	High Difficulty	11	13	15	12	10
017231.jpg	18	E	['20', '16', '19', '17', '18']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	017231.jpg	36	High Difficulty	20	16	19	17	18
017247.jpg	18	E	['15', '20', '17', '19', '18']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	017247.jpg	37	High Difficulty	15	20	17	19	18
017248.jpg	18	E	['21', '20', '17', '19', '18']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	017248.jpg	38	High Difficulty	21	20	17	19	18
017249.jpg	15	B	['14', '15', '17', '18', '13']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	017249.jpg	39	High Difficulty	14	15	17	18	13
017260.jpg	16	D	['14', '19', '15', '16', '18']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	017260.jpg	40	High Difficulty	14	19	15	16	18
017261.jpg	26	C	['24', '27', '26', '25', '28']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	017261.jpg	41	High Difficulty	24	27	26	25	28
017262.jpg	25	C	['28', '24', '25', '23', '27']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	017262.jpg	42	High Difficulty	28	24	25	23	27
017275.jpg	24	E	['23', '21', '27', '22', '24']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	017275.jpg	43	High Difficulty	23	21	27	22	24
017276.jpg	27	E	['30', '25', '29', '28', '27']	['How many ships are visible in this SAR image?', 'What is the total count of vessels in the scene?', 'Please count the number of ships shown in this image.', 'How many maritime vessels can you identify in this SAR image?', 'What is the exact number of ships present in this satellite image?']	Ship Counting	017276.jpg	44	High Difficulty	30	25	29	28	27
