image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
resolution_0.png	<0.5m	D	['<0.5m', '1m', '3-5m', '>10m']	['What is the spatial resolution of this SAR image?', 'Which resolution category does this SAR image belong to?', 'What is the approximate resolution of this SAR image?', 'Which resolution range best describes this SAR image?', 'Estimate the resolution category of this SAR data.']	Resolution Classification	resolution_0.png	0	Low Difficulty	3-5m	1m	>10m	<0.5m	
resolution_1.png	<0.5m	D	['<0.5m', '1m', '3-5m', '>10m']	['What is the spatial resolution of this SAR image?', 'Which resolution category does this SAR image belong to?', 'What is the approximate resolution of this SAR image?', 'Which resolution range best describes this SAR image?', 'Estimate the resolution category of this SAR data.']	Resolution Classification	resolution_1.png	1	Low Difficulty	1m	3-5m	>10m	<0.5m	
resolution_2.png	<0.5m	A	['<0.5m', '1m', '3-5m', '>10m']	['What is the spatial resolution of this SAR image?', 'Which resolution category does this SAR image belong to?', 'What is the approximate resolution of this SAR image?', 'Which resolution range best describes this SAR image?', 'Estimate the resolution category of this SAR data.']	Resolution Classification	resolution_2.png	2	Low Difficulty	<0.5m	>10m	1m	3-5m	
resolution_3.png	<0.5m	C	['<0.5m', '1m', '3-5m', '>10m']	['What is the spatial resolution of this SAR image?', 'Which resolution category does this SAR image belong to?', 'What is the approximate resolution of this SAR image?', 'Which resolution range best describes this SAR image?', 'Estimate the resolution category of this SAR data.']	Resolution Classification	resolution_3.png	3	Low Difficulty	>10m	1m	<0.5m	3-5m	
resolution_4.png	<0.5m	B	['<0.5m', '1m', '3-5m', '>10m']	['What is the spatial resolution of this SAR image?', 'Which resolution category does this SAR image belong to?', 'What is the approximate resolution of this SAR image?', 'Which resolution range best describes this SAR image?', 'Estimate the resolution category of this SAR data.']	Resolution Classification	resolution_4.png	4	Low Difficulty	3-5m	<0.5m	>10m	1m	
resolution_5.png	<0.5m	C	['<0.5m', '1m', '3-5m', '>10m']	['What is the spatial resolution of this SAR image?', 'Which resolution category does this SAR image belong to?', 'What is the approximate resolution of this SAR image?', 'Which resolution range best describes this SAR image?', 'Estimate the resolution category of this SAR data.']	Resolution Classification	resolution_5.png	5	Low Difficulty	1m	3-5m	<0.5m	>10m	
resolution_6.png	<0.5m	C	['<0.5m', '1m', '3-5m', '>10m']	['What is the spatial resolution of this SAR image?', 'Which resolution category does this SAR image belong to?', 'What is the approximate resolution of this SAR image?', 'Which resolution range best describes this SAR image?', 'Estimate the resolution category of this SAR data.']	Resolution Classification	resolution_6.png	6	Low Difficulty	1m	3-5m	<0.5m	>10m	
resolution_7.png	<0.5m	A	['<0.5m', '1m', '3-5m', '>10m']	['What is the spatial resolution of this SAR image?', 'Which resolution category does this SAR image belong to?', 'What is the approximate resolution of this SAR image?', 'Which resolution range best describes this SAR image?', 'Estimate the resolution category of this SAR data.']	Resolution Classification	resolution_7.png	7	Low Difficulty	<0.5m	1m	>10m	3-5m	
resolution_8.png	<0.5m	D	['<0.5m', '1m', '3-5m', '>10m']	['What is the spatial resolution of this SAR image?', 'Which resolution category does this SAR image belong to?', 'What is the approximate resolution of this SAR image?', 'Which resolution range best describes this SAR image?', 'Estimate the resolution category of this SAR data.']	Resolution Classification	resolution_8.png	8	Low Difficulty	1m	>10m	3-5m	<0.5m	
resolution_9.png	<0.5m	C	['<0.5m', '1m', '3-5m', '>10m']	['What is the spatial resolution of this SAR image?', 'Which resolution category does this SAR image belong to?', 'What is the approximate resolution of this SAR image?', 'Which resolution range best describes this SAR image?', 'Estimate the resolution category of this SAR data.']	Resolution Classification	resolution_9.png	9	Low Difficulty	1m	>10m	<0.5m	3-5m	
