image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
0504.jpg	14	A	['14', '15', '16', '17', '11']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0504.jpg	1	High Difficulty	14	15	16	17	11
0505.jpg	34	C	['32', '37', '34', '31', '36']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0505.jpg	2	High Difficulty	32	37	34	31	36
0506.jpg	29	A	['29', '26', '30', '32', '31']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0506.jpg	3	High Difficulty	29	26	30	32	31
0507.jpg	11	C	['13', '8', '11', '14', '9']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0507.jpg	4	High Difficulty	13	8	11	14	9
0509.jpg	45	D	['44', '42', '46', '45', '48']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0509.jpg	5	High Difficulty	44	42	46	45	48
0510.jpg	82	E	['85', '79', '80', '84', '82']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0510.jpg	6	High Difficulty	85	79	80	84	82
0511.jpg	117	E	['114', '118', '120', '119', '117']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0511.jpg	7	High Difficulty	114	118	120	119	117
0512.jpg	85	B	['83', '85', '86', '88', '87']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0512.jpg	8	High Difficulty	83	85	86	88	87
0513.jpg	32	C	['30', '35', '32', '33', '34']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0513.jpg	9	High Difficulty	30	35	32	33	34
0514.jpg	8	B	['9', '8', '5', '10', '11']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0514.jpg	10	High Difficulty	9	8	5	10	11
0518.jpg	93	A	['93', '92', '96', '95', '94']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0518.jpg	11	High Difficulty	93	92	96	95	94
0519.jpg	288	D	['291', '287', '285', '288', '290']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0519.jpg	12	High Difficulty	291	287	285	288	290
0520.jpg	318	E	['317', '320', '315', '316', '318']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0520.jpg	13	High Difficulty	317	320	315	316	318
0521.jpg	239	C	['238', '242', '239', '236', '241']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0521.jpg	14	High Difficulty	238	242	239	236	241
0522.jpg	64	E	['62', '63', '61', '65', '64']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0522.jpg	15	High Difficulty	62	63	61	65	64
0523.jpg	8	A	['8', '6', '11', '9', '5']	['How many aircraft are visible in this SAR image?', 'What is the total count of aircraft in the scene?', 'Please count the number of airplanes shown in this image.', 'How many aircraft can you identify in this SAR image?', 'What is the exact number of planes present in this satellite image?']	Aircraft Counting	0523.jpg	16	High Difficulty	8	6	11	9	5
