image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
vehicle_h21.JPG	2S1	B	['Changlin_8228-5', '2S1', 'Hawtai_EV160B', 'BMP2', 'CNHTC_HOWO']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h21.JPG	0	High Difficulty	Changlin_8228-5	2S1	Hawtai_EV160B	BMP2	CNHTC_HOWO
vehicle_h22.JPG	2S1	C	['ZSU234', 'D7', '2S1', 'Foton_BJ1045V9JB5-54', 'Changlin_8228-5']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h22.JPG	1	High Difficulty	ZSU234	D7	2S1	Foton_BJ1045V9JB5-54	Changlin_8228-5
vehicle_h23.JPG	2S1	E	['Hyundai_HLF25_II', 'Foton_BJ1045V9JB5-54', 'D7', 'JAC_Junling', '2S1']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h23.JPG	2	High Difficulty	Hyundai_HLF25_II	Foton_BJ1045V9JB5-54	D7	JAC_Junling	2S1
vehicle_h13.jpg	BMP2	B	['SHACMAN_DeLong_X3000', 'BMP2', 'BTR70', 'Lveco_Proud_2009', 'WAW_Aochi_1800']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h13.jpg	3	High Difficulty	SHACMAN_DeLong_X3000	BMP2	BTR70	Lveco_Proud_2009	WAW_Aochi_1800
vehicle_h18.jpg	BMP2	D	"[""Chang'an_Starlight_4500"", 'T62', 'SDLG_ZL40F', 'BMP2', 'Lveco_Proud_2009']"	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h18.jpg	4	High Difficulty	Chang'an_Starlight_4500	T62	SDLG_ZL40F	BMP2	Lveco_Proud_2009
vehicle_h19.jpg	BMP2	A	['BMP2', 'CNHTC_HOWO', 'Chevrolet_Blazer_1998', 'Wuling_Rongguang_V', 'Huanghai_N1']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h19.jpg	5	High Difficulty	BMP2	CNHTC_HOWO	Chevrolet_Blazer_1998	Wuling_Rongguang_V	Huanghai_N1
vehicle_h20.jpg	BMP2	B	['SHACMAN_DeLong_X3000', 'BMP2', 'Dongfeng_Tianjin_DFH2200B', 'Huanghai_N1', 'FAW_Jiabao_T51']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h20.jpg	6	High Difficulty	SHACMAN_DeLong_X3000	BMP2	Dongfeng_Tianjin_DFH2200B	Huanghai_N1	FAW_Jiabao_T51
vehicle_h25.JPG	BRDM2	B	['Mitsubishi_Outlander_2003', 'BRDM2', 'SHACMAN_DeLong_X3000', 'D7', 'Hawtai_EV160B']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h25.JPG	7	High Difficulty	Mitsubishi_Outlander_2003	BRDM2	SHACMAN_DeLong_X3000	D7	Hawtai_EV160B
vehicle_h38.JPG	BRDM2	B	"['BTR60', 'BRDM2', 'T72', ""Chang'an_CS75_Plus"", 'MAXUS_V80']"	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h38.JPG	8	High Difficulty	BTR60	BRDM2	T72	Chang'an_CS75_Plus	MAXUS_V80
vehicle_h44.JPG	BRDM2	A	['BRDM2', 'Changlin_8228-5', 'SDLG_ZL40F', 'Buick_GL8', 'Hongqi_h5']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h44.JPG	9	High Difficulty	BRDM2	Changlin_8228-5	SDLG_ZL40F	Buick_GL8	Hongqi_h5
vehicle_h7.JPG	BTR60	E	['Hyundai_HLF25_II', 'Dongfeng_Tianjin_DFH2200B', 'Great_Wall_poer', 'Mitsubishi_Outlander_2003', 'BTR60']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h7.JPG	10	High Difficulty	Hyundai_HLF25_II	Dongfeng_Tianjin_DFH2200B	Great_Wall_poer	Mitsubishi_Outlander_2003	BTR60
vehicle_h10.JPG	BTR60	D	['CNHTC_HOWO', 'JAC_Junling', 'Dongfeng_EQ6608LTV', 'BTR60', 'Chevrolet_Blazer_1998']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h10.JPG	11	High Difficulty	CNHTC_HOWO	JAC_Junling	Dongfeng_EQ6608LTV	BTR60	Chevrolet_Blazer_1998
vehicle_h11.JPG	BTR60	E	"[""Chang'an_CS75_Plus"", 'T72', 'Lveco_Proud_2009', 'T62', 'BTR60']"	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h11.JPG	12	High Difficulty	Chang'an_CS75_Plus	T72	Lveco_Proud_2009	T62	BTR60
vehicle_h17.JPG	BTR60	B	"['Dongfeng_Forthing_Lingzhi', 'BTR60', ""Chang'an_CS75_Plus"", 'FAW_Jiabao_T51', 'BMP2']"	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h17.JPG	13	High Difficulty	Dongfeng_Forthing_Lingzhi	BTR60	Chang'an_CS75_Plus	FAW_Jiabao_T51	BMP2
vehicle_h1.jpg	BTR70	C	['T62', 'Jeep_Patriot', 'BTR70', 'SHACMAN_DeLong_X3000', 'WAW_Aochi_Hongrui']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h1.jpg	14	High Difficulty	T62	Jeep_Patriot	BTR70	SHACMAN_DeLong_X3000	WAW_Aochi_Hongrui
vehicle_h4.jpg	BTR70	C	['FAW_J6P', 'Chevrolet_Blazer_1998', 'BTR70', 'Dongfeng_Duolika', 'Buick_GL8']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h4.jpg	15	High Difficulty	FAW_J6P	Chevrolet_Blazer_1998	BTR70	Dongfeng_Duolika	Buick_GL8
vehicle_h6.jpg	BTR70	E	['JINBEI_SY5033XJH', 'BRDM2', 'MAXUS_V80', 'Dongfeng_Tianjin_KR230', 'BTR70']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h6.jpg	16	High Difficulty	JINBEI_SY5033XJH	BRDM2	MAXUS_V80	Dongfeng_Tianjin_KR230	BTR70
vehicle_h14.jpg	BTR70	D	['Changlin_8228-5', 'Lincoln_MKC', 'Buick_GL8', 'BTR70', 'Great_Wall_poer']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h14.jpg	17	High Difficulty	Changlin_8228-5	Lincoln_MKC	Buick_GL8	BTR70	Great_Wall_poer
vehicle_h15.jpg	BTR70	B	['BRDM2', 'BTR70', 'Dongfeng_Tianjin_DFH2200B', 'Dongfeng_Tianjin_KR230', 'Buick_Excelle_GT']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h15.jpg	18	High Difficulty	BRDM2	BTR70	Dongfeng_Tianjin_DFH2200B	Dongfeng_Tianjin_KR230	Buick_Excelle_GT
vehicle_h24.JPG	D7	B	"['Chevrolet_Blazer_1998', 'D7', 'Changfeng_Cheetah_CFA6473C', ""Chang'an_Starlight_4500"", 'Dongfeng_Tianjin_DFH2200B']"	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h24.JPG	19	High Difficulty	Chevrolet_Blazer_1998	D7	Changfeng_Cheetah_CFA6473C	Chang'an_Starlight_4500	Dongfeng_Tianjin_DFH2200B
vehicle_h26.JPG	D7	C	['T62', 'FAW_Jiabao_T51', 'D7', 'Foton_BJ1045V9JB5-54', 'Hawtai_EV160B']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h26.JPG	20	High Difficulty	T62	FAW_Jiabao_T51	D7	Foton_BJ1045V9JB5-54	Hawtai_EV160B
vehicle_h28.JPG	D7	A	['D7', 'CNHTC_HOWO', 'BTR70', 'SHACMAN_DeLong_X3000', 'Jeep_Patriot']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h28.JPG	21	High Difficulty	D7	CNHTC_HOWO	BTR70	SHACMAN_DeLong_X3000	Jeep_Patriot
vehicle_h46.JPG	D7	E	['WAW_Aochi_1800', 'FAW_J6P', 'WAW_Aochi_Hongrui', 'BRDM2', 'D7']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h46.JPG	22	High Difficulty	WAW_Aochi_1800	FAW_J6P	WAW_Aochi_Hongrui	BRDM2	D7
vehicle_h27.JPG	T62	D	['BTR70', 'JINBEI_SY5033XJH', 'Chery_qq3', 'T62', 'Buick_GL8']	['What type of vehicle is visible in this image?', 'Which model does the identified vehicle belong to?', 'What is the primary role or purpose of the vehicle in this image?', 'Which specific model of vehicle is shown in the scene?', 'What type of vehicle is depicted in the given image?']	Vehicle Type Classification	vehicle_h27.JPG	23	High Difficulty	BTR70	JINBEI_SY5033XJH	Chery_qq3	T62	Buick_GL8
