image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
Ship_C01S01N0002.png	AggregatesCarrier	C	['FishCarrier', 'FloatingStorage_Production', 'AggregatesCarrier', 'Cargo-HazardC', 'BunkeringTanker']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S01N0002	0	High Difficulty	FishCarrier	FloatingStorage_Production	AggregatesCarrier	Cargo-HazardC	BunkeringTanker
Ship_C01S02N0032.png	BulkCarrier	D	['SailingVessel', 'SARAircraft', 'WingInGrnd', 'BulkCarrier', 'FloatingStorage_Production']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S02N0032	1	High Difficulty	SailingVessel	SARAircraft	WingInGrnd	BulkCarrier	FloatingStorage_Production
Ship_C01S03N0001.png	Cargo-HazardA	D	['TrainingShip', 'AggregatesCarrier', 'CO2Tanker', 'Cargo-HazardA', 'Salvage_RescueVessel']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S03N0001	2	High Difficulty	TrainingShip	AggregatesCarrier	CO2Tanker	Cargo-HazardA	Salvage_RescueVessel
Ship_C01S04N0004.png	Cargo-HazardB	E	['SpecialCraft', 'Salvage_RescueVessel', 'OilProductsTanker', 'SpecialVessel', 'Cargo-HazardB']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S04N0004	3	High Difficulty	SpecialCraft	Salvage_RescueVessel	OilProductsTanker	SpecialVessel	Cargo-HazardB
Ship_C01S05N0003.png	Cargo-HazardC	B	['Engagedindredgingorunderwateroperations', 'Cargo-HazardC', 'LocalVessel', 'Unspecified', 'FishCarrier']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S05N0003	4	High Difficulty	Engagedindredgingorunderwateroperations	Cargo-HazardC	LocalVessel	Unspecified	FishCarrier
Ship_C01S06N0001.png	Cargo-HazardD	A	['Cargo-HazardD', 'OilProductsTanker', 'Platform', 'BunkeringTanker', 'Tanker-HazardA']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S06N0001	5	High Difficulty	Cargo-HazardD	OilProductsTanker	Platform	BunkeringTanker	Tanker-HazardA
Ship_C01S06N0003.png	Cargo-HazardD	A	['Cargo-HazardD', 'WingInGrnd', 'PipeLayer', 'TrainingShip', 'Tanker-HazardD']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S06N0003	6	High Difficulty	Cargo-HazardD	WingInGrnd	PipeLayer	TrainingShip	Tanker-HazardD
Ship_C01S06N0004.png	Cargo-HazardD	B	['SailingVessel', 'Cargo-HazardD', 'SAR', 'CO2Tanker', 'HeavyLoadCarrier']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S06N0004	7	High Difficulty	SailingVessel	Cargo-HazardD	SAR	CO2Tanker	HeavyLoadCarrier
Ship_C01S07N0508.png	CargoShip	D	['HighSpeedCraft', 'IsolatedDanger', 'LPGTanker', 'CargoShip', 'PollutionControlVessel']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S07N0508	8	High Difficulty	HighSpeedCraft	IsolatedDanger	LPGTanker	CargoShip	PollutionControlVessel
Ship_C01S07N1319.png	CargoShip	C	['HopperDredger', 'SelfDischargingBulkCarrier', 'CargoShip', 'ContainerShip', 'MooringVessel']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S07N1319	9	High Difficulty	HopperDredger	SelfDischargingBulkCarrier	CargoShip	ContainerShip	MooringVessel
