image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
image_0.png	24.1	B	['24.1', '28.7', '56.6', '82.8']	['What is the incidence angle of this SAR image?', 'Estimate the incidence angle of this SAR image. ', 'Judging by the extent of radar shadow, classify the incidence angle of this acquisition.', 'What was the incidence angle used to acquire this SAR scene?', 'Infer the incidence angle based on the visual properties of this SAR image.']	Incidence Angle Estimation	image_0.png	0	High Difficulty	56.6	24.1	28.7	82.8	
image_1.png	24.1	D	['24.1', '20.5', '56.6', '88.8']	['What is the incidence angle of this SAR image?', 'Estimate the incidence angle of this SAR image. ', 'Judging by the extent of radar shadow, classify the incidence angle of this acquisition.', 'What was the incidence angle used to acquire this SAR scene?', 'Infer the incidence angle based on the visual properties of this SAR image.']	Incidence Angle Estimation	image_1.png	1	High Difficulty	88.8	56.6	20.5	24.1	
image_2.png	24.1	A	['24.1', '28.6', '56.3', '82.4']	['What is the incidence angle of this SAR image?', 'Estimate the incidence angle of this SAR image. ', 'Judging by the extent of radar shadow, classify the incidence angle of this acquisition.', 'What was the incidence angle used to acquire this SAR scene?', 'Infer the incidence angle based on the visual properties of this SAR image.']	Incidence Angle Estimation	image_2.png	2	High Difficulty	24.1	56.3	82.4	28.6	
image_3.png	24.1	A	['24.1', '28.4', '54.4', '81.3']	['What is the incidence angle of this SAR image?', 'Estimate the incidence angle of this SAR image. ', 'Judging by the extent of radar shadow, classify the incidence angle of this acquisition.', 'What was the incidence angle used to acquire this SAR scene?', 'Infer the incidence angle based on the visual properties of this SAR image.']	Incidence Angle Estimation	image_3.png	3	High Difficulty	24.1	81.3	28.4	54.4	
image_4.png	24.1	C	['24.1', '27.4', '57.9', '89.4']	['What is the incidence angle of this SAR image?', 'Estimate the incidence angle of this SAR image. ', 'Judging by the extent of radar shadow, classify the incidence angle of this acquisition.', 'What was the incidence angle used to acquire this SAR scene?', 'Infer the incidence angle based on the visual properties of this SAR image.']	Incidence Angle Estimation	image_4.png	4	High Difficulty	27.4	89.4	24.1	57.9	
image_5.png	24.1	A	['24.1', '19.9', '56.4', '88.6']	['What is the incidence angle of this SAR image?', 'Estimate the incidence angle of this SAR image. ', 'Judging by the extent of radar shadow, classify the incidence angle of this acquisition.', 'What was the incidence angle used to acquire this SAR scene?', 'Infer the incidence angle based on the visual properties of this SAR image.']	Incidence Angle Estimation	image_5.png	5	High Difficulty	24.1	19.9	88.6	56.4	
image_6.png	24.1	D	['24.1', '27.3', '52.6', '88.5']	['What is the incidence angle of this SAR image?', 'Estimate the incidence angle of this SAR image. ', 'Judging by the extent of radar shadow, classify the incidence angle of this acquisition.', 'What was the incidence angle used to acquire this SAR scene?', 'Infer the incidence angle based on the visual properties of this SAR image.']	Incidence Angle Estimation	image_6.png	6	High Difficulty	88.5	27.3	52.6	24.1	
image_7.png	24.1	C	['24.1', '29.0', '56.7', '87.7']	['What is the incidence angle of this SAR image?', 'Estimate the incidence angle of this SAR image. ', 'Judging by the extent of radar shadow, classify the incidence angle of this acquisition.', 'What was the incidence angle used to acquire this SAR scene?', 'Infer the incidence angle based on the visual properties of this SAR image.']	Incidence Angle Estimation	image_7.png	7	High Difficulty	29.0	56.7	24.1	87.7	
image_8.png	24.1	D	['24.1', '20.0', '53.6', '83.5']	['What is the incidence angle of this SAR image?', 'Estimate the incidence angle of this SAR image. ', 'Judging by the extent of radar shadow, classify the incidence angle of this acquisition.', 'What was the incidence angle used to acquire this SAR scene?', 'Infer the incidence angle based on the visual properties of this SAR image.']	Incidence Angle Estimation	image_8.png	8	High Difficulty	83.5	20.0	53.6	24.1	
image_9.png	24.1	A	['24.1', '20.7', '53.6', '82.7']	['What is the incidence angle of this SAR image?', 'Estimate the incidence angle of this SAR image. ', 'Judging by the extent of radar shadow, classify the incidence angle of this acquisition.', 'What was the incidence angle used to acquire this SAR scene?', 'Infer the incidence angle based on the visual properties of this SAR image.']	Incidence Angle Estimation	image_9.png	9	High Difficulty	24.1	20.7	82.7	53.6	
