image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
01080.jpg	2	A	['2', '1', '0', '3', '4']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	01080.jpg	1	High Difficulty	2	1	0	3	4
014417.jpg	2	E	['0', '3', '1', '4', '2']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	014417.jpg	2	High Difficulty	0	3	1	4	2
014434.jpg	2	D	['1', '0', '4', '2', '3']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	014434.jpg	3	High Difficulty	1	0	4	2	3
014435.jpg	3	C	['5', '4', '3', '0', '2']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	014435.jpg	4	High Difficulty	5	4	3	0	2
014436.jpg	3	B	['1', '3', '5', '6', '4']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	014436.jpg	5	High Difficulty	1	3	5	6	4
014465.jpg	2	D	['0', '1', '3', '2', '4']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	014465.jpg	6	High Difficulty	0	1	3	2	4
014466.jpg	2	C	['0', '4', '2', '1', '3']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	014466.jpg	7	High Difficulty	0	4	2	1	3
014513.jpg	2	A	['2', '0', '3', '4', '1']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	014513.jpg	8	High Difficulty	2	0	3	4	1
014624.jpg	2	C	['1', '4', '2', '3', '0']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	014624.jpg	9	High Difficulty	1	4	2	3	0
014666.jpg	2	B	['1', '2', '0', '3', '4']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	014666.jpg	10	High Difficulty	1	2	0	3	4
015219.jpg	2	A	['2', '1', '4', '3', '0']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015219.jpg	11	High Difficulty	2	1	4	3	0
015220.jpg	2	C	['3', '0', '2', '1', '4']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015220.jpg	12	High Difficulty	3	0	2	1	4
015283.jpg	3	E	['0', '2', '1', '5', '3']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015283.jpg	13	High Difficulty	0	2	1	5	3
015284.jpg	4	B	['1', '4', '7', '2', '6']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015284.jpg	14	High Difficulty	1	4	7	2	6
015285.jpg	3	A	['3', '0', '2', '6', '5']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015285.jpg	15	High Difficulty	3	0	2	6	5
015286.jpg	2	B	['1', '2', '0', '4', '3']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015286.jpg	16	High Difficulty	1	2	0	4	3
015312.jpg	3	D	['0', '5', '2', '3', '1']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015312.jpg	17	High Difficulty	0	5	2	3	1
015313.jpg	5	D	['6', '7', '8', '5', '3']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015313.jpg	18	High Difficulty	6	7	8	5	3
015314.jpg	4	A	['4', '2', '7', '3', '5']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015314.jpg	19	High Difficulty	4	2	7	3	5
015317.jpg	2	A	['2', '3', '1', '0', '4']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015317.jpg	20	High Difficulty	2	3	1	0	4
015381.jpg	3	D	['4', '5', '1', '3', '6']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015381.jpg	21	High Difficulty	4	5	1	3	6
015382.jpg	3	A	['3', '2', '6', '4', '1']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015382.jpg	22	High Difficulty	3	2	6	4	1
015383.jpg	2	C	['1', '4', '2', '0', '3']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015383.jpg	23	High Difficulty	1	4	2	0	3
015416.jpg	2	D	['4', '3', '1', '2', '0']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015416.jpg	24	High Difficulty	4	3	1	2	0
015417.jpg	4	D	['5', '1', '3', '4', '2']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015417.jpg	25	High Difficulty	5	1	3	4	2
015418.jpg	3	D	['2', '5', '1', '3', '6']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015418.jpg	26	High Difficulty	2	5	1	3	6
015419.jpg	2	B	['0', '2', '4', '1', '3']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015419.jpg	27	High Difficulty	0	2	4	1	3
015771.jpg	2	C	['0', '1', '2', '4', '3']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015771.jpg	28	High Difficulty	0	1	2	4	3
015772.jpg	2	E	['3', '0', '4', '1', '2']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015772.jpg	29	High Difficulty	3	0	4	1	2
015773.jpg	2	C	['0', '1', '2', '4', '3']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015773.jpg	30	High Difficulty	0	1	2	4	3
015835.jpg	2	B	['3', '2', '1', '0', '4']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015835.jpg	31	High Difficulty	3	2	1	0	4
015836.jpg	2	E	['0', '3', '4', '1', '2']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015836.jpg	32	High Difficulty	0	3	4	1	2
015937.jpg	2	E	['3', '1', '4', '0', '2']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015937.jpg	33	High Difficulty	3	1	4	0	2
015938.jpg	2	B	['3', '2', '1', '0', '4']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	015938.jpg	34	High Difficulty	3	2	1	0	4
016130.jpg	2	C	['1', '3', '2', '4', '0']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	016130.jpg	35	High Difficulty	1	3	2	4	0
016131.jpg	2	A	['2', '0', '3', '1', '4']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	016131.jpg	36	High Difficulty	2	0	3	1	4
016141.jpg	2	A	['2', '4', '3', '1', '0']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	016141.jpg	37	High Difficulty	2	4	3	1	0
016142.jpg	2	B	['0', '2', '1', '3', '4']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	016142.jpg	38	High Difficulty	0	2	1	3	4
016143.jpg	2	C	['1', '3', '2', '0', '4']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	016143.jpg	39	High Difficulty	1	3	2	0	4
016221.jpg	2	C	['1', '4', '2', '3', '0']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	016221.jpg	40	High Difficulty	1	4	2	3	0
016222.jpg	3	A	['3', '1', '5', '0', '2']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	016222.jpg	41	High Difficulty	3	1	5	0	2
016223.jpg	3	A	['3', '1', '4', '6', '5']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	016223.jpg	42	High Difficulty	3	1	4	6	5
016539.jpg	8	B	['7', '8', '10', '6', '11']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	016539.jpg	43	High Difficulty	7	8	10	6	11
016745.jpg	2	B	['0', '2', '1', '3', '4']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	016745.jpg	44	High Difficulty	0	2	1	3	4
016910.jpg	2	D	['0', '3', '4', '2', '1']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	016910.jpg	45	High Difficulty	0	3	4	2	1
016911.jpg	2	B	['3', '2', '0', '4', '1']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	016911.jpg	46	High Difficulty	3	2	0	4	1
016912.jpg	2	C	['3', '0', '2', '1', '4']	['How many bridges are visible in this SAR image?', 'What is the total count of bridges in the scene?', 'Please count the number of bridges shown in this image.', 'How many bridge structures can you identify in this SAR image?', 'What is the exact number of bridges present in this satellite image?']	Bridge Counting	016912.jpg	47	High Difficulty	3	0	2	1	4
