image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_02048_06759.png	788.28 square meters	B	['788.28 square meters', '864.00 square meters', '359.94 square meters', '1546.83 square meters']	"['What is the area of the target in this image (in square meters)?', ""Which value correctly represents the target's area in the image?"", 'What is the calculated area of the main target shown in the image?', 'Which option matches the actual area of the target in the image?', 'What is the precise area of the target in this aerial image?']"	Area Calculation	GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_02048_06759.png	177	High Difficulty	864.00 square meters	788.28 square meters	359.94 square meters	1546.83 square meters	
GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_02048_09012.png	800.00 square meters	B	['800.00 square meters', '858.00 square meters', '1193.68 square meters', '153.37 square meters']	"['What is the area of the target in this image (in square meters)?', ""Which value correctly represents the target's area in the image?"", 'What is the calculated area of the main target shown in the image?', 'Which option matches the actual area of the target in the image?', 'What is the precise area of the target in this aerial image?']"	Area Calculation	GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_02048_09012.png	178	High Difficulty	1193.68 square meters	800.00 square meters	858.00 square meters	153.37 square meters	
GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_02560_06759.png	788.28 square meters	A	['788.28 square meters', '672.00 square meters', '393.12 square meters', '1718.38 square meters']	"['What is the area of the target in this image (in square meters)?', ""Which value correctly represents the target's area in the image?"", 'What is the calculated area of the main target shown in the image?', 'Which option matches the actual area of the target in the image?', 'What is the precise area of the target in this aerial image?']"	Area Calculation	GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_02560_06759.png	179	High Difficulty	788.28 square meters	1718.38 square meters	672.00 square meters	393.12 square meters	
GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_02560_09012.png	800.00 square meters	A	['800.00 square meters', '883.00 square meters', '1240.16 square meters', '87.22 square meters']	"['What is the area of the target in this image (in square meters)?', ""Which value correctly represents the target's area in the image?"", 'What is the calculated area of the main target shown in the image?', 'Which option matches the actual area of the target in the image?', 'What is the precise area of the target in this aerial image?']"	Area Calculation	GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_02560_09012.png	180	High Difficulty	800.00 square meters	883.00 square meters	87.22 square meters	1240.16 square meters	
GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_04608_09012.png	242.00 square meters	B	['242.00 square meters', '206.00 square meters', '318.30 square meters', '490.67 square meters']	"['What is the area of the target in this image (in square meters)?', ""Which value correctly represents the target's area in the image?"", 'What is the calculated area of the main target shown in the image?', 'Which option matches the actual area of the target in the image?', 'What is the precise area of the target in this aerial image?']"	Area Calculation	GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_04608_09012.png	181	High Difficulty	490.67 square meters	242.00 square meters	206.00 square meters	318.30 square meters	
GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_04608_11265.png	244.00 square meters	B	['244.00 square meters', '274.00 square meters', '157.81 square meters', '31.18 square meters']	"['What is the area of the target in this image (in square meters)?', ""Which value correctly represents the target's area in the image?"", 'What is the calculated area of the main target shown in the image?', 'Which option matches the actual area of the target in the image?', 'What is the precise area of the target in this aerial image?']"	Area Calculation	GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_04608_11265.png	182	High Difficulty	274.00 square meters	244.00 square meters	157.81 square meters	31.18 square meters	
GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_04608_13518.png	224.00 square meters	A	['224.00 square meters', '206.00 square meters', '337.24 square meters', '420.13 square meters']	"['What is the area of the target in this image (in square meters)?', ""Which value correctly represents the target's area in the image?"", 'What is the calculated area of the main target shown in the image?', 'Which option matches the actual area of the target in the image?', 'What is the precise area of the target in this aerial image?']"	Area Calculation	GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_04608_13518.png	183	High Difficulty	224.00 square meters	420.13 square meters	206.00 square meters	337.24 square meters	
GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_04608_15771.png	224.00 square meters	A	['224.00 square meters', '252.00 square meters', '133.94 square meters', '27.76 square meters']	"['What is the area of the target in this image (in square meters)?', ""Which value correctly represents the target's area in the image?"", 'What is the calculated area of the main target shown in the image?', 'Which option matches the actual area of the target in the image?', 'What is the precise area of the target in this aerial image?']"	Area Calculation	GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_04608_15771.png	184	High Difficulty	224.00 square meters	133.94 square meters	252.00 square meters	27.76 square meters	
GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_05120_09012.png	242.00 square meters	D	['242.00 square meters', '266.00 square meters', '357.10 square meters', '19.24 square meters']	"['What is the area of the target in this image (in square meters)?', ""Which value correctly represents the target's area in the image?"", 'What is the calculated area of the main target shown in the image?', 'Which option matches the actual area of the target in the image?', 'What is the precise area of the target in this aerial image?']"	Area Calculation	GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_05120_09012.png	185	High Difficulty	357.10 square meters	19.24 square meters	266.00 square meters	242.00 square meters	
GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_05120_11265.png	244.00 square meters	C	['244.00 square meters', '220.00 square meters', '144.65 square meters', '26.65 square meters']	"['What is the area of the target in this image (in square meters)?', ""Which value correctly represents the target's area in the image?"", 'What is the calculated area of the main target shown in the image?', 'Which option matches the actual area of the target in the image?', 'What is the precise area of the target in this aerial image?']"	Area Calculation	GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_05120_11265.png	186	High Difficulty	144.65 square meters	220.00 square meters	244.00 square meters	26.65 square meters	
GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_05120_13518.png	224.00 square meters	A	['224.00 square meters', '208.00 square meters', '324.25 square meters', '432.79 square meters']	"['What is the area of the target in this image (in square meters)?', ""Which value correctly represents the target's area in the image?"", 'What is the calculated area of the main target shown in the image?', 'Which option matches the actual area of the target in the image?', 'What is the precise area of the target in this aerial image?']"	Area Calculation	GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_05120_13518.png	187	High Difficulty	224.00 square meters	324.25 square meters	208.00 square meters	432.79 square meters	
GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_05120_15771.png	412.00 square meters	B	['412.00 square meters', '370.00 square meters', '656.19 square meters', '762.94 square meters']	"['What is the area of the target in this image (in square meters)?', ""Which value correctly represents the target's area in the image?"", 'What is the calculated area of the main target shown in the image?', 'Which option matches the actual area of the target in the image?', 'What is the precise area of the target in this aerial image?']"	Area Calculation	GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_05120_15771.png	188	High Difficulty	370.00 square meters	412.00 square meters	762.94 square meters	656.19 square meters	
GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_05120_18024.png	412.00 square meters	D	['412.00 square meters', '448.00 square meters', '201.08 square meters', '905.26 square meters']	"['What is the area of the target in this image (in square meters)?', ""Which value correctly represents the target's area in the image?"", 'What is the calculated area of the main target shown in the image?', 'Which option matches the actual area of the target in the image?', 'What is the precise area of the target in this aerial image?']"	Area Calculation	GF3_KAS_SL_005464_E77.1_N28.6_20170824_L1A_HH_L10002559081_05120_18024.png	189	High Difficulty	905.26 square meters	448.00 square meters	201.08 square meters	412.00 square meters	
