image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
Ship_C01S01N0002.png	Cargo	A	['Cargo', 'Tanker', 'Other', 'Tug', 'Reserved']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S01N0002	0	High Difficulty	Cargo	Tanker	Other	Tug	Reserved
Ship_C01S02N0032.png	Cargo	E	['WingInGrnd', 'LawEnforce', 'Dredger', 'Reserved', 'Cargo']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S02N0032	1	High Difficulty	WingInGrnd	LawEnforce	Dredger	Reserved	Cargo
Ship_C01S03N0001.png	Cargo	C	['HighSpeedCraft', 'Dredger', 'Cargo', 'Other', 'DiveVessel']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S03N0001	2	High Difficulty	HighSpeedCraft	Dredger	Cargo	Other	DiveVessel
Ship_C01S04N0004.png	Cargo	D	['Dredger', 'Tanker', 'Tug', 'Cargo', 'SAR']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S04N0004	3	High Difficulty	Dredger	Tanker	Tug	Cargo	SAR
Ship_C01S05N0003.png	Cargo	D	['Tug', 'Passenger', 'WingInGrnd', 'Cargo', 'SAR']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S05N0003	4	High Difficulty	Tug	Passenger	WingInGrnd	Cargo	SAR
Ship_C01S06N0001.png	Cargo	E	['Tanker', 'Tug', 'SAR', 'Other', 'Cargo']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S06N0001	5	High Difficulty	Tanker	Tug	SAR	Other	Cargo
Ship_C01S06N0003.png	Cargo	A	['Cargo', 'LawEnforce', 'Reserved', 'Tug', 'WingInGrnd']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S06N0003	6	High Difficulty	Cargo	LawEnforce	Reserved	Tug	WingInGrnd
Ship_C01S06N0004.png	Cargo	B	['Dredger', 'Cargo', 'Fishing', 'PortTender', 'WingInGrnd']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S06N0004	7	High Difficulty	Dredger	Cargo	Fishing	PortTender	WingInGrnd
Ship_C01S07N0508.png	Cargo	D	['HighSpeedCraft', 'DiveVessel', 'Passenger', 'Cargo', 'Fishing']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S07N0508	8	High Difficulty	HighSpeedCraft	DiveVessel	Passenger	Cargo	Fishing
Ship_C01S07N1319.png	Cargo	E	['DiveVessel', 'Dredger', 'PortTender', 'Tug', 'Cargo']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S07N1319	9	High Difficulty	DiveVessel	Dredger	PortTender	Tug	Cargo
Ship_C01S07N1369.png	Cargo	A	['Cargo', 'Other', 'Dredger', 'LawEnforce', 'Tanker']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S07N1369	10	High Difficulty	Cargo	Other	Dredger	LawEnforce	Tanker
Ship_C01S08N0033.png	Cargo	D	['Tanker', 'Fishing', 'SAR', 'Cargo', 'Reserved']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S08N0033	11	High Difficulty	Tanker	Fishing	SAR	Cargo	Reserved
Ship_C01S09N0001.png	Cargo	A	['Cargo', 'PortTender', 'Fishing', 'Reserved', 'Other']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S09N0001	12	High Difficulty	Cargo	PortTender	Fishing	Reserved	Other
Ship_C01S10N0018.png	Cargo	E	['Tanker', 'Other', 'PortTender', 'Reserved', 'Cargo']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S10N0018	13	High Difficulty	Tanker	Other	PortTender	Reserved	Cargo
Ship_C01S10N0041.png	Cargo	E	['Fishing', 'HighSpeedCraft', 'SAR', 'Reserved', 'Cargo']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S10N0041	14	High Difficulty	Fishing	HighSpeedCraft	SAR	Reserved	Cargo
Ship_C01S11N0003.png	Cargo	D	['Tanker', 'WingInGrnd', 'DiveVessel', 'Cargo', 'Fishing']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S11N0003	15	High Difficulty	Tanker	WingInGrnd	DiveVessel	Cargo	Fishing
Ship_C01S12N0001.png	Cargo	A	['Cargo', 'Dredger', 'Reserved', 'SAR', 'DiveVessel']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S12N0001	16	High Difficulty	Cargo	Dredger	Reserved	SAR	DiveVessel
Ship_C01S13N0001.png	Cargo	D	['Passenger', 'Dredger', 'Reserved', 'Cargo', 'Other']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S13N0001	17	High Difficulty	Passenger	Dredger	Reserved	Cargo	Other
Ship_C01S13N0002.png	Cargo	D	['PortTender', 'WingInGrnd', 'Tug', 'Cargo', 'LawEnforce']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S13N0002	18	High Difficulty	PortTender	WingInGrnd	Tug	Cargo	LawEnforce
Ship_C01S14N0001.png	Cargo	C	['Reserved', 'Dredger', 'Cargo', 'LawEnforce', 'Other']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S14N0001	19	High Difficulty	Reserved	Dredger	Cargo	LawEnforce	Other
Ship_C01S15N0001.png	Cargo	E	['SAR', 'Reserved', 'Tanker', 'DiveVessel', 'Cargo']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S15N0001	20	High Difficulty	SAR	Reserved	Tanker	DiveVessel	Cargo
Ship_C01S16N0001.png	Cargo	C	['SAR', 'WingInGrnd', 'Cargo', 'Passenger', 'Other']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S16N0001	21	High Difficulty	SAR	WingInGrnd	Cargo	Passenger	Other
Ship_C01S17N0001.png	Cargo	C	['DiveVessel', 'HighSpeedCraft', 'Cargo', 'LawEnforce', 'Passenger']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S17N0001	22	High Difficulty	DiveVessel	HighSpeedCraft	Cargo	LawEnforce	Passenger
Ship_C01S18N0001.png	Cargo	C	['Passenger', 'Reserved', 'Cargo', 'SAR', 'Dredger']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S18N0001	23	High Difficulty	Passenger	Reserved	Cargo	SAR	Dredger
Ship_C01S19N0001.png	Cargo	C	['LawEnforce', 'DiveVessel', 'Cargo', 'HighSpeedCraft', 'Tanker']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S19N0001	24	High Difficulty	LawEnforce	DiveVessel	Cargo	HighSpeedCraft	Tanker
Ship_C01S20N0001.png	Cargo	D	['HighSpeedCraft', 'LawEnforce', 'Other', 'Cargo', 'DiveVessel']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S20N0001	25	High Difficulty	HighSpeedCraft	LawEnforce	Other	Cargo	DiveVessel
Ship_C01S21N0001.png	Cargo	A	['Cargo', 'Dredger', 'Other', 'Reserved', 'PortTender']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S21N0001	26	High Difficulty	Cargo	Dredger	Other	Reserved	PortTender
Ship_C01S21N0002.png	Cargo	D	['SAR', 'Tanker', 'Other', 'Cargo', 'Tug']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S21N0002	27	High Difficulty	SAR	Tanker	Other	Cargo	Tug
Ship_C01S21N0003.png	Cargo	D	['LawEnforce', 'DiveVessel', 'Other', 'Cargo', 'WingInGrnd']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C01S21N0003	28	High Difficulty	LawEnforce	DiveVessel	Other	Cargo	WingInGrnd
Ship_C02S01N0001.png	DiveVessel	C	['Fishing', 'WingInGrnd', 'DiveVessel', 'Passenger', 'Tug']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C02S01N0001	29	High Difficulty	Fishing	WingInGrnd	DiveVessel	Passenger	Tug
Ship_C02S01N0002.png	DiveVessel	C	['Fishing', 'WingInGrnd', 'DiveVessel', 'Passenger', 'Dredger']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C02S01N0002	30	High Difficulty	Fishing	WingInGrnd	DiveVessel	Passenger	Dredger
Ship_C02S02N0001.png	DiveVessel	D	['Cargo', 'LawEnforce', 'Tug', 'DiveVessel', 'Other']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C02S02N0001	31	High Difficulty	Cargo	LawEnforce	Tug	DiveVessel	Other
Ship_C03S01N0001.png	Dredger	E	['Other', 'PortTender', 'Cargo', 'LawEnforce', 'Dredger']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C03S01N0001	32	High Difficulty	Other	PortTender	Cargo	LawEnforce	Dredger
Ship_C03S02N0035.png	Dredger	B	['DiveVessel', 'Dredger', 'HighSpeedCraft', 'Fishing', 'Cargo']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C03S02N0035	33	High Difficulty	DiveVessel	Dredger	HighSpeedCraft	Fishing	Cargo
Ship_C03S02N0036.png	Dredger	B	['HighSpeedCraft', 'Dredger', 'Other', 'WingInGrnd', 'PortTender']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C03S02N0036	34	High Difficulty	HighSpeedCraft	Dredger	Other	WingInGrnd	PortTender
Ship_C03S03N0001.png	Dredger	B	['DiveVessel', 'Dredger', 'Reserved', 'Passenger', 'HighSpeedCraft']	['What type of ship is visible in this image?', 'Which class or category does the identified vessel belong to?', 'What is the primary role or purpose of the ship in this image?', 'Which specific type of military or civilian ship is shown in the scene?', 'What class of naval or transport vessel is depicted in the given image?']	Ship Type Classification	Ship_C03S03N0001	35	High Difficulty	DiveVessel	Dredger	Reserved	Passenger	HighSpeedCraft
