image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
FARAD_102.jpg	17	D	['14', '20', '16', '17', '15']	['How many vehicles are visible in this SAR image?', 'What is the total count of vehicles in the scene?', 'Please count the number of vehicles shown in this image.', 'How many vehicles can you identify in this SAR image?', 'What is the exact number of vehicles present in this satellite image?']	Vehicle Counting	FARAD_102.jpg	1	High Difficulty	14	20	16	17	15
FARAD_103.jpg	22	C	['20', '21', '22', '23', '19']	['How many vehicles are visible in this SAR image?', 'What is the total count of vehicles in the scene?', 'Please count the number of vehicles shown in this image.', 'How many vehicles can you identify in this SAR image?', 'What is the exact number of vehicles present in this satellite image?']	Vehicle Counting	FARAD_103.jpg	2	High Difficulty	20	21	22	23	19
FARAD_11.jpg	19	B	['18', '19', '21', '22', '17']	['How many vehicles are visible in this SAR image?', 'What is the total count of vehicles in the scene?', 'Please count the number of vehicles shown in this image.', 'How many vehicles can you identify in this SAR image?', 'What is the exact number of vehicles present in this satellite image?']	Vehicle Counting	FARAD_11.jpg	3	High Difficulty	18	19	21	22	17
FARAD_111.jpg	18	A	['18', '21', '15', '16', '20']	['How many vehicles are visible in this SAR image?', 'What is the total count of vehicles in the scene?', 'Please count the number of vehicles shown in this image.', 'How many vehicles can you identify in this SAR image?', 'What is the exact number of vehicles present in this satellite image?']	Vehicle Counting	FARAD_111.jpg	4	High Difficulty	18	21	15	16	20
FARAD_114.jpg	21	C	['24', '20', '21', '22', '18']	['How many vehicles are visible in this SAR image?', 'What is the total count of vehicles in the scene?', 'Please count the number of vehicles shown in this image.', 'How many vehicles can you identify in this SAR image?', 'What is the exact number of vehicles present in this satellite image?']	Vehicle Counting	FARAD_114.jpg	5	High Difficulty	24	20	21	22	18
FARAD_116.jpg	23	D	['22', '20', '21', '23', '25']	['How many vehicles are visible in this SAR image?', 'What is the total count of vehicles in the scene?', 'Please count the number of vehicles shown in this image.', 'How many vehicles can you identify in this SAR image?', 'What is the exact number of vehicles present in this satellite image?']	Vehicle Counting	FARAD_116.jpg	6	High Difficulty	22	20	21	23	25
FARAD_136.jpg	17	B	['20', '17', '16', '14', '15']	['How many vehicles are visible in this SAR image?', 'What is the total count of vehicles in the scene?', 'Please count the number of vehicles shown in this image.', 'How many vehicles can you identify in this SAR image?', 'What is the exact number of vehicles present in this satellite image?']	Vehicle Counting	FARAD_136.jpg	7	High Difficulty	20	17	16	14	15
FARAD_138.jpg	21	B	['18', '21', '24', '23', '19']	['How many vehicles are visible in this SAR image?', 'What is the total count of vehicles in the scene?', 'Please count the number of vehicles shown in this image.', 'How many vehicles can you identify in this SAR image?', 'What is the exact number of vehicles present in this satellite image?']	Vehicle Counting	FARAD_138.jpg	8	High Difficulty	18	21	24	23	19
FARAD_14.jpg	58	E	['57', '56', '60', '59', '58']	['How many vehicles are visible in this SAR image?', 'What is the total count of vehicles in the scene?', 'Please count the number of vehicles shown in this image.', 'How many vehicles can you identify in this SAR image?', 'What is the exact number of vehicles present in this satellite image?']	Vehicle Counting	FARAD_14.jpg	9	High Difficulty	57	56	60	59	58
FARAD_15.jpg	20	B	['23', '20', '17', '21', '19']	['How many vehicles are visible in this SAR image?', 'What is the total count of vehicles in the scene?', 'Please count the number of vehicles shown in this image.', 'How many vehicles can you identify in this SAR image?', 'What is the exact number of vehicles present in this satellite image?']	Vehicle Counting	FARAD_15.jpg	10	High Difficulty	23	20	17	21	19
