image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
36.png	Lower-left	D	['Up', 'Upper-left', 'Down', 'Lower-left', 'Left']	"['What is the movement direction of the ship in the image?', 'Which direction is the ship moving in this image?', ""What is the primary direction of the ship's movement shown in the image?"", ""Which direction best describes the ship's movement in the picture?"", 'What direction is the ship traveling in this image?']"	Ship Movement Direction Inference	36.png	0	Medium Difficulty	Up	Upper-left	Down	Lower-left	Left
51.png	Down	A	['Down', 'Lower-left', 'Upper-right', 'Left', 'Up']	"['What is the movement direction of the ship in the image?', 'Which direction is the ship moving in this image?', ""What is the primary direction of the ship's movement shown in the image?"", ""Which direction best describes the ship's movement in the picture?"", 'What direction is the ship traveling in this image?']"	Ship Movement Direction Inference	51.png	1	Medium Difficulty	Down	Lower-left	Upper-right	Left	Up
52.png	Down	C	['Upper-right', 'Upper-left', 'Down', 'Right', 'Left']	"['What is the movement direction of the ship in the image?', 'Which direction is the ship moving in this image?', ""What is the primary direction of the ship's movement shown in the image?"", ""Which direction best describes the ship's movement in the picture?"", 'What direction is the ship traveling in this image?']"	Ship Movement Direction Inference	52.png	2	Medium Difficulty	Upper-right	Upper-left	Down	Right	Left
101.png	Upper-right	E	['Up', 'Lower-left', 'Upper-left', 'Right', 'Upper-right']	"['What is the movement direction of the ship in the image?', 'Which direction is the ship moving in this image?', ""What is the primary direction of the ship's movement shown in the image?"", ""Which direction best describes the ship's movement in the picture?"", 'What direction is the ship traveling in this image?']"	Ship Movement Direction Inference	101.png	3	Medium Difficulty	Up	Lower-left	Upper-left	Right	Upper-right
107.png	Down	E	['Lower-left', 'Right', 'Upper-left', 'Lower-right', 'Down']	"['What is the movement direction of the ship in the image?', 'Which direction is the ship moving in this image?', ""What is the primary direction of the ship's movement shown in the image?"", ""Which direction best describes the ship's movement in the picture?"", 'What direction is the ship traveling in this image?']"	Ship Movement Direction Inference	107.png	4	Medium Difficulty	Lower-left	Right	Upper-left	Lower-right	Down
121.png	Up	E	['Upper-right', 'Right', 'Upper-left', 'Lower-right', 'Up']	"['What is the movement direction of the ship in the image?', 'Which direction is the ship moving in this image?', ""What is the primary direction of the ship's movement shown in the image?"", ""Which direction best describes the ship's movement in the picture?"", 'What direction is the ship traveling in this image?']"	Ship Movement Direction Inference	121.png	5	Medium Difficulty	Upper-right	Right	Upper-left	Lower-right	Up
132.png	Right	D	['Upper-left', 'Left', 'Upper-right', 'Right', 'Down']	"['What is the movement direction of the ship in the image?', 'Which direction is the ship moving in this image?', ""What is the primary direction of the ship's movement shown in the image?"", ""Which direction best describes the ship's movement in the picture?"", 'What direction is the ship traveling in this image?']"	Ship Movement Direction Inference	132.png	6	Medium Difficulty	Upper-left	Left	Upper-right	Right	Down
144.png	Up	B	['Left', 'Up', 'Lower-right', 'Right', 'Upper-right']	"['What is the movement direction of the ship in the image?', 'Which direction is the ship moving in this image?', ""What is the primary direction of the ship's movement shown in the image?"", ""Which direction best describes the ship's movement in the picture?"", 'What direction is the ship traveling in this image?']"	Ship Movement Direction Inference	144.png	7	Medium Difficulty	Left	Up	Lower-right	Right	Upper-right
146.png	Upper-right	D	['Upper-left', 'Down', 'Up', 'Upper-right', 'Right']	"['What is the movement direction of the ship in the image?', 'Which direction is the ship moving in this image?', ""What is the primary direction of the ship's movement shown in the image?"", ""Which direction best describes the ship's movement in the picture?"", 'What direction is the ship traveling in this image?']"	Ship Movement Direction Inference	146.png	8	Medium Difficulty	Upper-left	Down	Up	Upper-right	Right
184.png	Upper-right	C	['Lower-left', 'Up', 'Upper-right', 'Left', 'Upper-left']	"['What is the movement direction of the ship in the image?', 'Which direction is the ship moving in this image?', ""What is the primary direction of the ship's movement shown in the image?"", ""Which direction best describes the ship's movement in the picture?"", 'What direction is the ship traveling in this image?']"	Ship Movement Direction Inference	184.png	9	Medium Difficulty	Lower-left	Up	Upper-right	Left	Upper-left
