index	answer	question	image_path
0	[[0.328, 0.844], [0.395, 0.844], [0.395, 0.965], [0.328, 0.965]]	locate the ship bottom-center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010721.jpg
1	[[0.789, 0.336], [0.863, 0.336], [0.863, 0.418], [0.789, 0.418]]	the storage tank on the right side in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010721.jpg
2	[[0.914, 0.129], [0.984, 0.129], [0.984, 0.211], [0.914, 0.211]]	the cylindrical tank on the upper right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010721.jpg
3	[[0.93, 0.312], [1.0, 0.312], [1.0, 0.387], [0.93, 0.387]]	find the fuel tank located towards the right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010721.jpg
4	[[0.773, 0.191], [0.844, 0.191], [0.844, 0.262], [0.773, 0.262]]	the fuel tank that is in the top right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010721.jpg
5	[[0.867, 0.207], [0.926, 0.207], [0.926, 0.285], [0.867, 0.285]]	find the in the top right storage tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010721.jpg
6	[[0.875, 0.336], [0.934, 0.336], [0.934, 0.41], [0.875, 0.41]]	the oil tank that is on the right side in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010721.jpg
7	[[0.805, 0.434], [0.871, 0.434], [0.871, 0.492], [0.805, 0.492]]	the oil tank towards the right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010721.jpg
8	[[0.328, 0.469], [0.395, 0.469], [0.395, 0.59], [0.328, 0.59]]	locate the boat center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010722.jpg
9	[[0.805, 0.059], [0.871, 0.059], [0.871, 0.117], [0.805, 0.117]]	locate the oil tank in the top right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010722.jpg
10	[[0.098, 0.617], [0.148, 0.617], [0.148, 0.664], [0.098, 0.664]]	the marine vessel on the left side in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010722.jpg
11	[[0.848, 0.074], [0.953, 0.074], [0.953, 0.184], [0.848, 0.184]]	locate the marine vessel in the top right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010740.jpg
12	[[0.055, 0.059], [0.121, 0.059], [0.121, 0.117], [0.055, 0.117]]	find the storage tank located on the upper left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010740.jpg
13	[[0.324, 0.562], [0.406, 0.562], [0.406, 0.707], [0.324, 0.707]]	the vessel center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010751.jpg
14	[[0.473, 0.824], [0.578, 0.824], [0.578, 0.934], [0.473, 0.934]]	the ship that is bottom-center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010751.jpg
15	[[0.121, 0.629], [0.207, 0.629], [0.207, 0.719], [0.121, 0.719]]	find the fuel tank located on the lower left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010751.jpg
16	[[0.055, 0.133], [0.133, 0.133], [0.133, 0.211], [0.055, 0.211]]	locate the oil tank in the top left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010751.jpg
17	[[0.082, 0.238], [0.156, 0.238], [0.156, 0.309], [0.082, 0.309]]	locate the storage tank at the top left corner in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010751.jpg
18	[[0.324, 0.188], [0.406, 0.188], [0.406, 0.332], [0.324, 0.332]]	find the ship located top-center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010752.jpg
19	[[0.473, 0.449], [0.578, 0.449], [0.578, 0.559], [0.473, 0.559]]	among the 3 marine vessels, find the one center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010752.jpg
20	[[0.121, 0.254], [0.207, 0.254], [0.207, 0.344], [0.121, 0.344]]	the cylindrical tank on the upper left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010752.jpg
21	[[0.766, 0.605], [0.797, 0.605], [0.797, 0.656], [0.766, 0.656]]	the marine vessel that is on the right side in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010752.jpg
22	[[0.82, 0.328], [0.91, 0.328], [0.91, 0.406], [0.82, 0.406]]	locate the storage tank towards the right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010763.jpg
23	[[0.914, 0.305], [0.988, 0.305], [0.988, 0.387], [0.914, 0.387]]	locate the storage tank on the right side in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010763.jpg
24	[[0.863, 0.512], [0.938, 0.512], [0.938, 0.586], [0.863, 0.586]]	find the fuel tank located towards the right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010763.jpg
25	[[0.926, 0.402], [1.0, 0.402], [1.0, 0.473], [0.926, 0.473]]	find the fuel tank located towards the right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010763.jpg
26	[[0.855, 0.422], [0.926, 0.422], [0.926, 0.496], [0.855, 0.496]]	find the storage tank located on the right side in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010763.jpg
27	[[0.781, 0.441], [0.84, 0.441], [0.84, 0.496], [0.781, 0.496]]	among the 7 oil tanks, find the one on the right side in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010763.jpg
28	[[0.797, 0.574], [0.855, 0.574], [0.855, 0.629], [0.797, 0.629]]	the oil tank on the right side in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010763.jpg
29	[[0.465, 0.562], [0.508, 0.562], [0.508, 0.637], [0.465, 0.637]]	the boat center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010763.jpg
30	[[0.863, 0.137], [0.938, 0.137], [0.938, 0.211], [0.863, 0.211]]	among the 5 storage tanks, find the one at the top right corner in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010764.jpg
31	[[0.926, 0.027], [1.0, 0.027], [1.0, 0.098], [0.926, 0.098]]	the cylindrical tank that is on the upper right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010764.jpg
32	[[0.855, 0.047], [0.926, 0.047], [0.926, 0.121], [0.855, 0.121]]	find the on the upper right oil tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010764.jpg
33	[[0.781, 0.066], [0.84, 0.066], [0.84, 0.121], [0.781, 0.121]]	find the oil tank located in the top right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010764.jpg
34	[[0.797, 0.199], [0.855, 0.199], [0.855, 0.254], [0.797, 0.254]]	locate the storage tank at the top right corner in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010764.jpg
35	[[0.465, 0.188], [0.508, 0.188], [0.508, 0.262], [0.465, 0.262]]	find the vessel located top-center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010764.jpg
36	[[0.762, 0.223], [0.84, 0.223], [0.84, 0.301], [0.762, 0.301]]	the cylindrical tank that is at the top right corner in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010791.jpg
37	[[0.781, 0.32], [0.852, 0.32], [0.852, 0.395], [0.781, 0.395]]	the fuel tank that is towards the right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010791.jpg
38	[[0.688, 0.637], [0.773, 0.637], [0.773, 0.695], [0.688, 0.695]]	locate the boat at the bottom right corner in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010791.jpg
39	[[0.926, 0.188], [0.992, 0.188], [0.992, 0.262], [0.926, 0.262]]	find the oil tank located at the top right corner in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010791.jpg
40	[[0.859, 0.305], [0.926, 0.305], [0.926, 0.371], [0.859, 0.371]]	find the fuel tank located in the middle right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010791.jpg
41	[[0.852, 0.211], [0.914, 0.211], [0.914, 0.281], [0.852, 0.281]]	find the at the top right corner storage tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010791.jpg
42	[[0.387, 0.223], [0.465, 0.223], [0.465, 0.301], [0.387, 0.301]]	locate the fuel tank top-center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010819.jpg
43	[[0.406, 0.32], [0.477, 0.32], [0.477, 0.395], [0.406, 0.395]]	the storage tank center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010819.jpg
44	[[0.312, 0.637], [0.398, 0.637], [0.398, 0.695], [0.312, 0.695]]	find the bottom-center ship from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010819.jpg
45	[[0.551, 0.188], [0.617, 0.188], [0.617, 0.262], [0.551, 0.262]]	locate the fuel tank top-center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010819.jpg
46	[[0.484, 0.305], [0.551, 0.305], [0.551, 0.371], [0.484, 0.371]]	locate the fuel tank center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010819.jpg
47	[[0.477, 0.211], [0.539, 0.211], [0.539, 0.281], [0.477, 0.281]]	find the storage tank located top-center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010819.jpg
48	[[0.648, 0.527], [0.746, 0.527], [0.746, 0.656], [0.648, 0.656]]	the vessel towards the right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010845.jpg
49	[[0.012, 0.598], [0.09, 0.598], [0.09, 0.676], [0.012, 0.676]]	find the on the left side storage tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010845.jpg
50	[[0.031, 0.695], [0.102, 0.695], [0.102, 0.77], [0.031, 0.77]]	the storage tank on the lower left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010845.jpg
51	[[0.176, 0.562], [0.242, 0.562], [0.242, 0.637], [0.176, 0.637]]	find the fuel tank located in the middle left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010845.jpg
52	[[0.109, 0.68], [0.176, 0.68], [0.176, 0.746], [0.109, 0.746]]	the fuel tank that is on the lower left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010845.jpg
53	[[0.102, 0.586], [0.164, 0.586], [0.164, 0.656], [0.102, 0.656]]	locate the cylindrical tank towards the left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010845.jpg
54	[[0.008, 0.078], [0.07, 0.078], [0.07, 0.145], [0.008, 0.145]]	among the 6 cylindrical tanks, find the one in the top left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010845.jpg
55	[[0.648, 0.152], [0.746, 0.152], [0.746, 0.281], [0.648, 0.281]]	find the in the top right vessel from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010846.jpg
56	[[0.012, 0.223], [0.09, 0.223], [0.09, 0.301], [0.012, 0.301]]	find the fuel tank located in the top left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010846.jpg
57	[[0.031, 0.32], [0.102, 0.32], [0.102, 0.395], [0.031, 0.395]]	find the towards the left storage tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010846.jpg
58	[[0.176, 0.188], [0.242, 0.188], [0.242, 0.262], [0.176, 0.262]]	find the in the top left cylindrical tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010846.jpg
59	[[0.109, 0.305], [0.176, 0.305], [0.176, 0.371], [0.109, 0.371]]	locate the storage tank on the left side in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010846.jpg
60	[[0.102, 0.211], [0.164, 0.211], [0.164, 0.281], [0.102, 0.281]]	among the 5 storage tanks, find the one in the top left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010846.jpg
61	[[0.402, 0.82], [0.543, 0.82], [0.543, 0.961], [0.402, 0.961]]	the marine vessel bottom-center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010851.jpg
62	[[0.824, 0.895], [0.906, 0.895], [0.906, 0.973], [0.824, 0.973]]	the cylindrical tank that is in the bottom right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010851.jpg
63	[[0.781, 0.691], [0.852, 0.691], [0.852, 0.77], [0.781, 0.77]]	the cylindrical tank at the bottom right corner in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010851.jpg
64	[[0.738, 0.859], [0.805, 0.859], [0.805, 0.938], [0.738, 0.938]]	find the fuel tank located in the bottom right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010851.jpg
65	[[0.816, 0.602], [0.883, 0.602], [0.883, 0.676], [0.816, 0.676]]	find the towards the right cylindrical tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010851.jpg
66	[[0.887, 0.637], [0.953, 0.637], [0.953, 0.707], [0.887, 0.707]]	the cylindrical tank in the bottom right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010851.jpg
67	[[0.863, 0.723], [0.922, 0.723], [0.922, 0.797], [0.863, 0.797]]	locate the fuel tank at the bottom right corner in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010851.jpg
68	[[0.402, 0.07], [0.543, 0.07], [0.543, 0.211], [0.402, 0.211]]	locate the marine vessel top-center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010853.jpg
69	[[0.824, 0.145], [0.906, 0.145], [0.906, 0.223], [0.824, 0.223]]	find the on the upper right storage tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010853.jpg
70	[[0.703, 0.199], [0.781, 0.199], [0.781, 0.281], [0.703, 0.281]]	locate the cylindrical tank on the upper right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010853.jpg
71	[[0.738, 0.109], [0.805, 0.109], [0.805, 0.188], [0.738, 0.188]]	the cylindrical tank that is on the upper right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010853.jpg
72	[[0.801, 0.234], [0.875, 0.234], [0.875, 0.297], [0.801, 0.297]]	locate the storage tank on the upper right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010853.jpg
73	[[0.867, 0.27], [0.926, 0.27], [0.926, 0.344], [0.867, 0.344]]	locate the fuel tank on the upper right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010853.jpg
74	[[0.91, 0.18], [0.957, 0.18], [0.957, 0.25], [0.91, 0.25]]	find the at the top right corner cylindrical tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/010853.jpg
75	[[0.168, 0.367], [0.285, 0.367], [0.285, 0.469], [0.168, 0.469]]	the vessel towards the left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011585.jpg
76	[[0.781, 0.004], [0.871, 0.004], [0.871, 0.09], [0.781, 0.09]]	find the fuel tank located in the top right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011585.jpg
77	[[0.785, 0.086], [0.863, 0.086], [0.863, 0.168], [0.785, 0.168]]	the oil tank in the top right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011585.jpg
78	[[0.77, 0.156], [0.84, 0.156], [0.84, 0.234], [0.77, 0.234]]	find the cylindrical tank located on the upper right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011585.jpg
79	[[0.828, 0.699], [0.906, 0.699], [0.906, 0.773], [0.828, 0.773]]	find the storage tank located in the bottom right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011635.jpg
80	[[0.852, 0.789], [0.922, 0.789], [0.922, 0.871], [0.852, 0.871]]	among the 8 fuel tanks, find the one on the lower right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011635.jpg
81	[[0.867, 0.887], [0.938, 0.887], [0.938, 0.965], [0.867, 0.965]]	find the on the lower right cylindrical tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011635.jpg
82	[[0.918, 0.684], [0.988, 0.684], [0.988, 0.754], [0.918, 0.754]]	among the 8 storage tanks, find the one in the bottom right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011635.jpg
83	[[0.934, 0.773], [1.0, 0.773], [1.0, 0.848], [0.934, 0.848]]	the fuel tank that is at the bottom right corner in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011635.jpg
84	[[0.949, 0.867], [1.0, 0.867], [1.0, 0.941], [0.949, 0.941]]	find the at the bottom right corner oil tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011635.jpg
85	[[0.809, 0.945], [0.859, 0.945], [0.859, 0.996], [0.809, 0.996]]	locate the cylindrical tank on the lower right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011635.jpg
86	[[0.793, 0.82], [0.836, 0.82], [0.836, 0.863], [0.793, 0.863]]	the storage tank at the bottom right corner in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011635.jpg
87	[[0.656, 0.629], [0.789, 0.629], [0.789, 0.719], [0.656, 0.719]]	the ship in the bottom right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011667.jpg
88	[[0.758, 0.215], [0.836, 0.215], [0.836, 0.297], [0.758, 0.297]]	the fuel tank on the upper right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011667.jpg
89	[[0.781, 0.312], [0.852, 0.312], [0.852, 0.391], [0.781, 0.391]]	the fuel tank in the middle right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011667.jpg
90	[[0.852, 0.207], [0.918, 0.207], [0.918, 0.277], [0.852, 0.277]]	find the oil tank located at the top right corner in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011667.jpg
91	[[0.863, 0.297], [0.93, 0.297], [0.93, 0.367], [0.863, 0.367]]	find the storage tank located in the middle right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011667.jpg
92	[[0.934, 0.188], [0.992, 0.188], [0.992, 0.262], [0.934, 0.262]]	find the oil tank located on the upper right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011667.jpg
93	[[0.281, 0.629], [0.414, 0.629], [0.414, 0.719], [0.281, 0.719]]	locate the ship bottom-center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011692.jpg
94	[[0.383, 0.215], [0.461, 0.215], [0.461, 0.297], [0.383, 0.297]]	among the 5 fuel tanks, find the one top-center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011692.jpg
95	[[0.406, 0.312], [0.477, 0.312], [0.477, 0.391], [0.406, 0.391]]	locate the oil tank center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011692.jpg
96	[[0.477, 0.207], [0.543, 0.207], [0.543, 0.277], [0.477, 0.277]]	locate the storage tank top-center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011692.jpg
97	[[0.488, 0.297], [0.555, 0.297], [0.555, 0.367], [0.488, 0.367]]	find the center storage tank from the group in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011692.jpg
98	[[0.559, 0.188], [0.617, 0.188], [0.617, 0.262], [0.559, 0.262]]	locate the fuel tank top-center in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011692.jpg
99	[[0.645, 0.527], [0.766, 0.527], [0.766, 0.664], [0.645, 0.664]]	find the boat located towards the right in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011725.jpg
100	[[0.008, 0.59], [0.086, 0.59], [0.086, 0.672], [0.008, 0.672]]	the storage tank that is on the left side in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011725.jpg
101	[[0.031, 0.688], [0.102, 0.688], [0.102, 0.766], [0.031, 0.766]]	the storage tank that is on the lower left in the format (x1, y1, x2, y2). Do not include any additional text.	/mnt/lichufiles/wzy/Test/Visual_grounding/images/011725.jpg
