image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
08244.jpg	HH	D	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08244.jpg	0	High Difficulty	HV	HH	VV	HH	
08245.jpg	HH	B	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08245.jpg	1	High Difficulty	HH	HH	VH	VV	
08246.jpg	HH	A	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08246.jpg	2	High Difficulty	HH	VV	VH	HV	
08247.jpg	HH	C	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08247.jpg	3	High Difficulty	VH	HH	HH	VV	
08248.jpg	HH	B	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08248.jpg	4	High Difficulty	VV	HH	VH	HH	
08249.jpg	HH	A	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08249.jpg	5	High Difficulty	HH	HV	HH	VH	
08250.jpg	HH	C	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08250.jpg	6	High Difficulty	HV	VV	HH	HH	
08251.jpg	HH	B	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08251.jpg	7	High Difficulty	VV	HH	HH	VH	
08252.jpg	HH	C	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08252.jpg	8	High Difficulty	HV	HH	HH	VV	
08253.jpg	HH	B	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08253.jpg	9	High Difficulty	VH	HH	HH	HV	
08254.jpg	HH	B	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08254.jpg	10	High Difficulty	HV	HH	HH	VH	
08255.jpg	HH	A	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08255.jpg	11	High Difficulty	HH	HV	VV	HH	
08256.jpg	HH	A	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08256.jpg	12	High Difficulty	HH	VH	VV	HV	
08257.jpg	HH	D	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08257.jpg	13	High Difficulty	VH	HV	HH	HH	
08258.jpg	HH	C	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08258.jpg	14	High Difficulty	VH	HH	HH	VV	
08259.jpg	HH	D	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08259.jpg	15	High Difficulty	VV	HH	VH	HH	
08260.jpg	HH	B	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08260.jpg	16	High Difficulty	HH	HH	HV	VV	
08261.jpg	HH	B	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08261.jpg	17	High Difficulty	VV	HH	HV	VH	
08262.jpg	HH	D	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08262.jpg	18	High Difficulty	HV	VH	HH	HH	
08263.jpg	HH	C	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08263.jpg	19	High Difficulty	VH	HV	HH	VV	
08264.jpg	HH	A	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08264.jpg	20	High Difficulty	HH	HH	HV	VV	
08265.jpg	HH	D	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08265.jpg	21	High Difficulty	HH	VV	HV	HH	
08266.jpg	HH	A	['HH', 'HV', 'VH', 'VV']	['Analyze the scattering response in this SAR image. Which polarization mode does it represent?', 'Classify the polarization mode of this single-polarization SAR channel.', 'From the following four polarization options, select the one used to acquire this SAR image based on its scattering characteristics.', 'Which polarization was used to capture this image?', 'Identify the polarization mode of this image.']	Polarization Classification	08266.jpg	22	High Difficulty	HH	HV	VH	VV	
