image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
aircraft_1.png	Airbus_A220	C	['Boeing737', 'Other', 'Airbus_A220', 'Boeing747', 'Boeing777']	['What type of aircraft is visible in this image?', 'Which model does the identified aircraft belong to?', 'What is the primary role or purpose of the aircraft in this image?', 'Which specific model of aircraft is shown in the scene?', 'What type of aircraft is depicted in the given image?']	Aircraft Type Classification	aircraft_1.png	0	High Difficulty	Boeing737	Other	Airbus_A220	Boeing747	Boeing777
aircraft_2.png	Airbus_A220	D	['Boeing787', 'Airfreighter', 'Other', 'Airbus_A220', 'Boeing767']	['What type of aircraft is visible in this image?', 'Which model does the identified aircraft belong to?', 'What is the primary role or purpose of the aircraft in this image?', 'Which specific model of aircraft is shown in the scene?', 'What type of aircraft is depicted in the given image?']	Aircraft Type Classification	aircraft_2.png	1	High Difficulty	Boeing787	Airfreighter	Other	Airbus_A220	Boeing767
aircraft_3.png	Airbus_A220	E	['Gulfstream', 'Airbus_A320', 'Boeing787', 'Other', 'Airbus_A220']	['What type of aircraft is visible in this image?', 'Which model does the identified aircraft belong to?', 'What is the primary role or purpose of the aircraft in this image?', 'Which specific model of aircraft is shown in the scene?', 'What type of aircraft is depicted in the given image?']	Aircraft Type Classification	aircraft_3.png	2	High Difficulty	Gulfstream	Airbus_A320	Boeing787	Other	Airbus_A220
aircraft_4.png	Airbus_A220	E	['Boeing737', 'Helicopter', 'Airbus_A330', 'Airfreighter', 'Airbus_A220']	['What type of aircraft is visible in this image?', 'Which model does the identified aircraft belong to?', 'What is the primary role or purpose of the aircraft in this image?', 'Which specific model of aircraft is shown in the scene?', 'What type of aircraft is depicted in the given image?']	Aircraft Type Classification	aircraft_4.png	3	High Difficulty	Boeing737	Helicopter	Airbus_A330	Airfreighter	Airbus_A220
aircraft_5.png	Airbus_A220	A	['Airbus_A220', 'Airfreighter', 'Boeing787', 'Boeing777', 'Helicopter']	['What type of aircraft is visible in this image?', 'Which model does the identified aircraft belong to?', 'What is the primary role or purpose of the aircraft in this image?', 'Which specific model of aircraft is shown in the scene?', 'What type of aircraft is depicted in the given image?']	Aircraft Type Classification	aircraft_5.png	4	High Difficulty	Airbus_A220	Airfreighter	Boeing787	Boeing777	Helicopter
aircraft_6.png	Airbus_A220	B	['Other', 'Airbus_A220', 'Gulfstream', 'Boeing767', 'Boeing777']	['What type of aircraft is visible in this image?', 'Which model does the identified aircraft belong to?', 'What is the primary role or purpose of the aircraft in this image?', 'Which specific model of aircraft is shown in the scene?', 'What type of aircraft is depicted in the given image?']	Aircraft Type Classification	aircraft_6.png	5	High Difficulty	Other	Airbus_A220	Gulfstream	Boeing767	Boeing777
aircraft_7.png	Airbus_A220	B	['Airfreighter', 'Airbus_A220', 'Boeing737', 'Airbus_A320', 'Boeing747']	['What type of aircraft is visible in this image?', 'Which model does the identified aircraft belong to?', 'What is the primary role or purpose of the aircraft in this image?', 'Which specific model of aircraft is shown in the scene?', 'What type of aircraft is depicted in the given image?']	Aircraft Type Classification	aircraft_7.png	6	High Difficulty	Airfreighter	Airbus_A220	Boeing737	Airbus_A320	Boeing747
aircraft_8.png	Airbus_A220	C	['Fokker-50', 'Boeing787', 'Airbus_A220', 'Helicopter', 'Airfreighter']	['What type of aircraft is visible in this image?', 'Which model does the identified aircraft belong to?', 'What is the primary role or purpose of the aircraft in this image?', 'Which specific model of aircraft is shown in the scene?', 'What type of aircraft is depicted in the given image?']	Aircraft Type Classification	aircraft_8.png	7	High Difficulty	Fokker-50	Boeing787	Airbus_A220	Helicopter	Airfreighter
aircraft_9.png	Airbus_A220	B	['Airbus_A330', 'Airbus_A220', 'Airbus_A320', 'Boeing737', 'Boeing747']	['What type of aircraft is visible in this image?', 'Which model does the identified aircraft belong to?', 'What is the primary role or purpose of the aircraft in this image?', 'Which specific model of aircraft is shown in the scene?', 'What type of aircraft is depicted in the given image?']	Aircraft Type Classification	aircraft_9.png	8	High Difficulty	Airbus_A330	Airbus_A220	Airbus_A320	Boeing737	Boeing747
aircraft_10.png	Airbus_A220	B	['Boeing747', 'Airbus_A220', 'Gulfstream', 'Boeing767', 'Boeing777']	['What type of aircraft is visible in this image?', 'Which model does the identified aircraft belong to?', 'What is the primary role or purpose of the aircraft in this image?', 'Which specific model of aircraft is shown in the scene?', 'What type of aircraft is depicted in the given image?']	Aircraft Type Classification	aircraft_10.png	9	High Difficulty	Boeing747	Airbus_A220	Gulfstream	Boeing767	Boeing777
aircraft_11.png	Airbus_A220	A	['Airbus_A220', 'Fokker-50', 'Airbus_A330', 'Boeing767', 'Helicopter']	['What type of aircraft is visible in this image?', 'Which model does the identified aircraft belong to?', 'What is the primary role or purpose of the aircraft in this image?', 'Which specific model of aircraft is shown in the scene?', 'What type of aircraft is depicted in the given image?']	Aircraft Type Classification	aircraft_11.png	10	High Difficulty	Airbus_A220	Fokker-50	Airbus_A330	Boeing767	Helicopter
aircraft_12.png	Airbus_A220	A	['Airbus_A220', 'Other', 'Boeing787', 'Boeing737', 'Boeing777']	['What type of aircraft is visible in this image?', 'Which model does the identified aircraft belong to?', 'What is the primary role or purpose of the aircraft in this image?', 'Which specific model of aircraft is shown in the scene?', 'What type of aircraft is depicted in the given image?']	Aircraft Type Classification	aircraft_12.png	11	High Difficulty	Airbus_A220	Other	Boeing787	Boeing737	Boeing777
