image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
KU_HH_15_110_249295.png	110°	A	['110°', '120°', '105°', '70°']	"['What is the azimuth angle of the vehicle in this SAR image?', 'What is the azimuth angle of the target in this image?', 'Which value represents the target azimuth angle in this SAR image?', 'What is the correct target azimuth angle for this radar image?', ""Estimate the target's azimuth angle.""]"	Target Azimuth Angle Estimation	KU_HH_15_110_249295.png	0	High Difficulty	110°	105°	120°	70°	
KU_HH_15_115_680587.png	115°	A	['115°', '80°', '120°', '125°']	"['What is the azimuth angle of the vehicle in this SAR image?', 'What is the azimuth angle of the target in this image?', 'Which value represents the target azimuth angle in this SAR image?', 'What is the correct target azimuth angle for this radar image?', ""Estimate the target's azimuth angle.""]"	Target Azimuth Angle Estimation	KU_HH_15_115_680587.png	1	High Difficulty	115°	80°	125°	120°	
KU_HH_15_120_603786.png	120°	C	['120°', '130°', '155°', '125°']	"['What is the azimuth angle of the vehicle in this SAR image?', 'What is the azimuth angle of the target in this image?', 'Which value represents the target azimuth angle in this SAR image?', 'What is the correct target azimuth angle for this radar image?', ""Estimate the target's azimuth angle.""]"	Target Azimuth Angle Estimation	KU_HH_15_120_603786.png	2	High Difficulty	130°	125°	120°	155°	
KU_HH_15_140_80603.png	140°	A	['140°', '145°', '170°', '150°']	"['What is the azimuth angle of the vehicle in this SAR image?', 'What is the azimuth angle of the target in this image?', 'Which value represents the target azimuth angle in this SAR image?', 'What is the correct target azimuth angle for this radar image?', ""Estimate the target's azimuth angle.""]"	Target Azimuth Angle Estimation	KU_HH_15_140_80603.png	3	High Difficulty	140°	170°	150°	145°	
KU_HH_15_145_518065.png	145°	A	['145°', '200°', '150°', '135°']	"['What is the azimuth angle of the vehicle in this SAR image?', 'What is the azimuth angle of the target in this image?', 'Which value represents the target azimuth angle in this SAR image?', 'What is the correct target azimuth angle for this radar image?', ""Estimate the target's azimuth angle.""]"	Target Azimuth Angle Estimation	KU_HH_15_145_518065.png	4	High Difficulty	145°	150°	135°	200°	
KU_HH_15_150_307102.png	150°	B	['150°', '160°', '195°', '155°']	"['What is the azimuth angle of the vehicle in this SAR image?', 'What is the azimuth angle of the target in this image?', 'Which value represents the target azimuth angle in this SAR image?', 'What is the correct target azimuth angle for this radar image?', ""Estimate the target's azimuth angle.""]"	Target Azimuth Angle Estimation	KU_HH_15_150_307102.png	5	High Difficulty	155°	150°	195°	160°	
KU_HH_15_170_144529.png	170°	D	['170°', '175°', '180°', '215°']	"['What is the azimuth angle of the vehicle in this SAR image?', 'What is the azimuth angle of the target in this image?', 'Which value represents the target azimuth angle in this SAR image?', 'What is the correct target azimuth angle for this radar image?', ""Estimate the target's azimuth angle.""]"	Target Azimuth Angle Estimation	KU_HH_15_170_144529.png	6	High Difficulty	215°	180°	175°	170°	
KU_HH_15_175_481064.png	175°	D	['175°', '185°', '115°', '180°']	"['What is the azimuth angle of the vehicle in this SAR image?', 'What is the azimuth angle of the target in this image?', 'Which value represents the target azimuth angle in this SAR image?', 'What is the correct target azimuth angle for this radar image?', ""Estimate the target's azimuth angle.""]"	Target Azimuth Angle Estimation	KU_HH_15_175_481064.png	7	High Difficulty	185°	180°	115°	175°	
KU_HH_15_180_161830.png	180°	B	['180°', '185°', '140°', '190°']	"['What is the azimuth angle of the vehicle in this SAR image?', 'What is the azimuth angle of the target in this image?', 'Which value represents the target azimuth angle in this SAR image?', 'What is the correct target azimuth angle for this radar image?', ""Estimate the target's azimuth angle.""]"	Target Azimuth Angle Estimation	KU_HH_15_180_161830.png	8	High Difficulty	140°	180°	190°	185°	
KU_HH_15_200_708231.png	200°	C	['200°', '155°', '205°', '190°']	"['What is the azimuth angle of the vehicle in this SAR image?', 'What is the azimuth angle of the target in this image?', 'Which value represents the target azimuth angle in this SAR image?', 'What is the correct target azimuth angle for this radar image?', ""Estimate the target's azimuth angle.""]"	Target Azimuth Angle Estimation	KU_HH_15_200_708231.png	9	High Difficulty	190°	155°	200°	205°	
KU_HH_15_205_373936.png	205°	B	['205°', '210°', '165°', '215°']	"['What is the azimuth angle of the vehicle in this SAR image?', 'What is the azimuth angle of the target in this image?', 'Which value represents the target azimuth angle in this SAR image?', 'What is the correct target azimuth angle for this radar image?', ""Estimate the target's azimuth angle.""]"	Target Azimuth Angle Estimation	KU_HH_15_205_373936.png	10	High Difficulty	165°	205°	210°	215°	
KU_HH_15_210_794624.png	210°	D	['210°', '155°', '220°', '215°']	"['What is the azimuth angle of the vehicle in this SAR image?', 'What is the azimuth angle of the target in this image?', 'Which value represents the target azimuth angle in this SAR image?', 'What is the correct target azimuth angle for this radar image?', ""Estimate the target's azimuth angle.""]"	Target Azimuth Angle Estimation	KU_HH_15_210_794624.png	11	High Difficulty	215°	220°	155°	210°	
KU_HH_15_230_673212.png	230°	D	['230°', '240°', '235°', '285°']	"['What is the azimuth angle of the vehicle in this SAR image?', 'What is the azimuth angle of the target in this image?', 'Which value represents the target azimuth angle in this SAR image?', 'What is the correct target azimuth angle for this radar image?', ""Estimate the target's azimuth angle.""]"	Target Azimuth Angle Estimation	KU_HH_15_230_673212.png	12	High Difficulty	285°	235°	240°	230°	
KU_HH_15_235_659670.png	235°	C	['235°', '225°', '185°', '245°']	"['What is the azimuth angle of the vehicle in this SAR image?', 'What is the azimuth angle of the target in this image?', 'Which value represents the target azimuth angle in this SAR image?', 'What is the correct target azimuth angle for this radar image?', ""Estimate the target's azimuth angle.""]"	Target Azimuth Angle Estimation	KU_HH_15_235_659670.png	13	High Difficulty	185°	245°	235°	225°	
