image_path	ground_truth	answer	options_list	question	task	image_name	index	cls_description	A	B	C	D	E
GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_05120_08982.png	4	B	['2', '4', '5', '6', '7']	['How many tower cranes are visible in this SAR image?', 'What is the total count of tower cranes in the scene?', 'Please count the number of tower cranes shown in this image.', 'What is the exact number of tower cranes present in this satellite image?']	Oil Tank Counting	GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_05120_08982.png	1	High Difficulty	2	4	5	6	7
GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_05120_10479.png	7	D	['5', '6', '8', '7', '4']	['How many tower cranes are visible in this SAR image?', 'What is the total count of tower cranes in the scene?', 'Please count the number of tower cranes shown in this image.', 'What is the exact number of tower cranes present in this satellite image?']	Oil Tank Counting	GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_05120_10479.png	2	High Difficulty	5	6	8	7	4
GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_05120_11976.png	3	A	['3', '1', '6', '0', '5']	['How many tower cranes are visible in this SAR image?', 'What is the total count of tower cranes in the scene?', 'Please count the number of tower cranes shown in this image.', 'What is the exact number of tower cranes present in this satellite image?']	Oil Tank Counting	GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_05120_11976.png	3	High Difficulty	3	1	6	0	5
GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_05632_08982.png	4	C	['6', '5', '4', '3', '1']	['How many tower cranes are visible in this SAR image?', 'What is the total count of tower cranes in the scene?', 'Please count the number of tower cranes shown in this image.', 'What is the exact number of tower cranes present in this satellite image?']	Oil Tank Counting	GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_05632_08982.png	4	High Difficulty	6	5	4	3	1
GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_05632_10479.png	7	B	['10', '7', '8', '4', '5']	['How many tower cranes are visible in this SAR image?', 'What is the total count of tower cranes in the scene?', 'Please count the number of tower cranes shown in this image.', 'What is the exact number of tower cranes present in this satellite image?']	Oil Tank Counting	GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_05632_10479.png	5	High Difficulty	10	7	8	4	5
GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_05632_11976.png	3	B	['6', '3', '0', '5', '2']	['How many tower cranes are visible in this SAR image?', 'What is the total count of tower cranes in the scene?', 'Please count the number of tower cranes shown in this image.', 'What is the exact number of tower cranes present in this satellite image?']	Oil Tank Counting	GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_05632_11976.png	6	High Difficulty	6	3	0	5	2
GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_06144_16467.png	3	D	['6', '4', '5', '3', '0']	['How many tower cranes are visible in this SAR image?', 'What is the total count of tower cranes in the scene?', 'Please count the number of tower cranes shown in this image.', 'What is the exact number of tower cranes present in this satellite image?']	Oil Tank Counting	GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_06144_16467.png	7	High Difficulty	6	4	5	3	0
GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_06144_17964.png	6	D	['7', '5', '9', '6', '4']	['How many tower cranes are visible in this SAR image?', 'What is the total count of tower cranes in the scene?', 'Please count the number of tower cranes shown in this image.', 'What is the exact number of tower cranes present in this satellite image?']	Oil Tank Counting	GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_06144_17964.png	8	High Difficulty	7	5	9	6	4
GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_06144_19461.png	6	C	['5', '3', '6', '8', '4']	['How many tower cranes are visible in this SAR image?', 'What is the total count of tower cranes in the scene?', 'Please count the number of tower cranes shown in this image.', 'What is the exact number of tower cranes present in this satellite image?']	Oil Tank Counting	GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_06144_19461.png	9	High Difficulty	5	3	6	8	4
GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_06144_20958.png	3	C	['1', '0', '3', '4', '5']	['How many tower cranes are visible in this SAR image?', 'What is the total count of tower cranes in the scene?', 'Please count the number of tower cranes shown in this image.', 'What is the exact number of tower cranes present in this satellite image?']	Oil Tank Counting	GF3_KAS_SL_028368_E139.7_N35.5_20211229_L1A_HH_L10000000001_06144_20958.png	10	High Difficulty	1	0	3	4	5
